,BusinessNum,cmpNm,기업명,ceoNm,telNo,faxTelNo,zip,adr,dtlAdr,cmpTypNm,cmpSclNm,pbcoGbNm,indCd1,indNm
0,1131201292,20210903,에**,김**,02  26333232,,7295,서울특별시 영등포구 문래로20길,"60, 5층 505호 (문래동3가,메가벤처타워)",일반,중소기업,일반기업,42321,일반 통신 공사업
1,6058609398,20220308,두원건설***,이**,043 283 4567,043 292 2002,28536,충청북도 청주시 청원구 중앙로 140,4층 (우암동),일반,중소기업,일반기업,41100,건물 건설업
2,1138601802,20210903,(주)드림아이***,유**,070 77666664,02  62806509,8510,서울 금천구 벚꽃로 298,"903호,1312호 (가산동,대륭포스트타워6차)",외감,중소기업,일반기업,62010,컴퓨터 프로그래밍 서비스업
3,7048608706,20211201,(주)드림오브***,신**,02-854-8000,050-4199-5335,3900,서울 마포구 마포나루길 332,"선착장 (상암동,상암나루)",일반,중소기업,일반기업,71531,경영컨설팅업
4,5088103009,20211130,(주)세***,권**,054 853 0006, 054 8539929,36660,경북 안동시 경북대로,"389, 101호 지하",일반,중소기업,일반기업,41220,토목시설물 건설업
5,1148600766,20210818,(주)***,김**,02 394 1416,02 394 1417,4165,서울특별시 마포구 마포대로 19,"503호, 504호, 505호 (마포동,신화빌딩)",일반,중소기업,일반기업,62021,컴퓨터시스템 통합 자문 및 구축 서비스업
6,1058101501,20211228,(주)지***,김**,02  31413100,231419600,4047,서울특별시 마포구 독막로3길 26,4층 (서교동),일반,중소기업,일반기업,42320,통신 공사업
7,2118707644,20210818,(주)***,조**,02-3449-0300,02-3447-7786,6047,서울특별시 강남구 도산대로 222,"5층, 6층, 7층, 8층 (논현동,호산빌딩)",일반,중소기업,일반기업,73209,"패션, 섬유류 및 기타 전문 디자인업"
8,2018601556,20210820,(주)퍼니***,정**,02  376 0791,02  777 9391,3926,서울 마포구 매봉산로 75,"13층 (상암동,디디엠씨빌딩)",외감,중소기업,일반기업,59110,"영화, 비디오물 및 방송프로그램 제작업"
9,1358606865,20211229,에스지건설***,오**,031 377 7401,031 377 5999,18126,경기도 오산시 황새로,117 (누읍동),외감,중소기업,일반기업,41111,단독 주택 건설업
10,3148609159,20220308,(주)아이***,김**,042-716-7088,042-710-7283,35233,대전 서구 대덕대로242번길 15,"804호 (둔산동,둔산의아침)",일반,중소기업,일반기업,58221,시스템 소프트웨어 개발 및 공급업
11,6108108585,20211018,(주)에스엠에이***,안**,052-222-7700,052-265-9911,44692,울산 남구 돋질로102번길 8-1,(달동),일반,중소기업,일반기업,42320,통신 공사업
12,2238104902,20210903,티에스건설***,함**,033 433 6637,033 432 6636,,강원도 홍천군 북방면 송학정로,111 (하화계리),일반,중소기업,일반기업,41220,토목시설물 건설업
13,4028102034,20220308,태안이엔지***,김**,063 291 2286,063 291 4241,54328,전라북도 김제시 백구면 백구공단1길 38,(반월리),일반,중소기업,일반기업,42310,전기 공사업
14,2068108767,20210818,가후이엔씨***,서**,031-606-9988,031-606-9989,13202,경기도 성남시 중원구 사기막골로,"159, 201호 (상대원동,금강하이테크2차)",일반,중소기업,일반기업,62021,컴퓨터시스템 통합 자문 및 구축 서비스업
15,5438700858,20210820,(주)**,고**,263391800,,,서울 강남구 테헤란로 420,"13층 (대치동,메이플타워)",일반,중소기업,일반기업,63991,데이터베이스 및 온라인정보 제공업
16,6078106815,20211018,태영건업***,박**,051-502-9166,051-502-2190,47504,부산 연제구 중앙대로 1243,"401호 (거제동,대한감리교회관)",외감,중소기업,일반기업,42132,콘크리트 및 철근 공사업
17,1268600088,20211228,(주)***,장**,031 698 8244,031 786 6760,13215,경기 성남시 중원구 둔촌대로 545,"302호 303호 (상대원동,한라시그마밸리)",일반,중소기업,일반기업,46522,통신·방송장비 및 부품 도매업
18,4698103282,20210903,(주)***,장윤정외 ***,,,46332,부산 금정구 공단로,68-13 (금사동),일반,중소기업,일반기업,62090,기타 정보기술 및 컴퓨터 운영 관련 서비스업
19,6988803188,20210903,이오건설***,이**,051-991-6771,051 9216772,46264,부산광역시 금정구 사천로 9,1층 (금사동),일반,중소기업,일반기업,42132,콘크리트 및 철근 공사업
