,BusinessNum,agentName,appReferenceNumber,applicantName,applicationDate,applicationNumber,applicationStatus,articleName,designMainClassification,designNumber,dsShpClssCd,internationalRegisterDate,internationalRegisterNumber,inventorName,openDate,openNumber,priorityDate,priorityNumber,publicationDate,publicationNumber,regReferenceNumber,registrationDate,registrationNumber
0,1051505526,,,,,,,,,,,,,,,,,,,,,,
1,2118605035,,,,,,,,,,,,,,,,,,,,,,
2,2298104710,,,,,,,,,,,,,,,,,,,,,,
3,4818104219,,,,,,,,,,,,,,,,,,,,,,
4,1178100918,,,,,,,,,,,,,,,,,,,,,,
5,1288606638,,,['주식회사 라온'],2010-04-13,3.02E+12,거절,요실금 및 변실금 치료를 위한 신체기관 지지 장치,['J750'],M01,['J750'],,,['황영호'],2010-05-11,3.02E+12,,,,,,,
6,1233701798,['남진우'],,"['주식회사 에코엔지니어링', '주식회사 나인테크']",2003-04-11,3.02E+12,소멸,연수기,['K640'],M01,['K640'],,,"['선남규', '주기중']",,,,,2003-12-31,,,2003-12-16,3.00E+12
7,1233701798,['남진우'],,['주식회사 나인테크'],2003-04-11,3.02E+12,소멸,혼합수전용연결구,['M2590'],M01,['M2590'],,,['선남규'],,,,,2004-06-07,,,2004-05-27,3.00E+12
8,2118603748,,,,,,,,,,,,,,,,,,,,,,
9,2028105909,,,,,,,,,,,,,,,,,,,,,,
10,5048106900,,,,,,,,,,,,,,,,,,,,,,
11,1050206258,,,,,,,,,,,,,,,,,,,,,,
12,5060508258,,,,,,,,,,,,,,,,,,,,,,
13,2068609732,,,,,,,,,,,,,,,,,,,,,,
14,2068601162,,,,,,,,,,,,,,,,,,,,,,
15,1198708247,,,,,,,,,,,,,,,,,,,,,,
16,5368103050,['배철우'],,['주식회사 브이에스컴퍼니'],2019-07-16,3.02E+12,등록,휴대폰 케이스,"['H33193', 'H590']",M001,"['H33193', 'H590']",,,['조성수'],,,,,2019-12-13,,,2019-12-09,3.01E+12
17,5368103050,['남진우'],,['주식회사 브이에스컴퍼니'],2021-01-29,3.02E+12,등록,무선 이어폰용 수납케이스,['H4149'],M001,['H4149'],,,['조성수'],,,,,2021-02-16,,,2021-02-08,3.01E+12
18,5368103050,['남진우'],,['주식회사 브이에스컴퍼니'],2019-12-13,3.02E+12,등록,휴대폰 케이스,"['H33193', 'H592']",M001,"['H592', 'H33193']",,,['조성수'],,,,,2020-03-06,,,2020-03-02,3.01E+12
19,5368103050,['배철우'],,['주식회사 브이에스컴퍼니'],2019-06-18,3.02E+12,등록,휴대폰 케이스,"['H33193', 'H592']",M001,"['H592', 'H33193']",,,['조성수'],,,,,2019-09-02,,,2019-08-27,3.01E+12
20,5368103050,['남진우'],,['주식회사 브이에스컴퍼니'],2020-07-09,3.02E+12,등록,무선 이어폰용 수납케이스,['H4149'],M001,['H4149'],,,['조성수'],,,,,2021-06-10,,,2021-06-03,3.01E+12
21,4648803814,,,,,,,,,,,,,,,,,,,,,,
22,1078701576,,,,,,,,,,,,,,,,,,,,,,
23,1108101669,,,,,,,,,,,,,,,,,,,,,,
24,1011106242,,,,,,,,,,,,,,,,,,,,,,
25,1068604853,['특허법인메이저'],,['(주)파란마당'],2020-09-18,3.02E+12,등록,휴대폰 거치대용 높이 조절구,"['H33192', 'H33190', 'H590']",M001,"['H33190', 'H33192', 'H590']",,,['이상준'],,,,,2021-01-05,,,2020-12-28,3.01E+12
26,1068604853,['특허법인메이저'],,['(주)파란마당'],2016-09-01,3.02E+12,등록,카메라용 케이스,['J32926'],M001,['J32926'],,,['차준표'],,,,,2017-05-12,,,2017-05-02,3.01E+12
27,8878704066,,,,,,,,,,,,,,,,,,,,,,
28,5108109470,,,,,,,,,,,,,,,,,,,,,,
29,3268803610,,,,,,,,,,,,,,,,,,,,,,
30,3148601760,,,,,,,,,,,,,,,,,,,,,,
31,1101107959,['특허법인 무한'],,['(주)비엠에스'],2015-08-24,3.02E+12,등록,족욕기,['J756'],M001,['J756'],,,['문신일'],2015-10-27,3.02E+12,,,2016-08-29,,,2016-08-19,3.01E+12
32,1101107959,['윤의상'],,"['비엠에스(주)', '김희관', '김태영']",2006-08-22,3.02E+12,소멸,발열 조끼,['B1114'],M01,['B1114'],,,"['김태영', '박수완', '김희관']",,,,,2007-01-04,,,2006-12-28,3.00E+12
33,1101107959,,,['(주)비엠에스'],2020-01-16,3.02E+12,등록,자세 교정용 기기,['J770'],M001,['J770'],,,"['김태영', '문신일']",,,,,2020-09-21,,,2020-09-14,3.01E+12
34,1101107959,,,['(주)비엠에스'],2020-07-24,3.02E+12,등록,허리 견인 벨트,['J770'],M001,['J770'],,,['문신일'],,,,,2021-03-26,,,2021-03-23,3.01E+12
35,1101107959,['윤의상'],,"['(주)비엠에스', '김태영']",2008-09-05,3.02E+12,소멸,체형 보정 바지,['B1121'],M01,['B1121'],,,['김태영'],,,,,2009-03-19,,,2009-03-12,3.01E+12
36,3558800632,,,,,,,,,,,,,,,,,,,,,,
37,1208608270,,,,,,,,,,,,,,,,,,,,,,
38,1048607991,,,,,,,,,,,,,,,,,,,,,,
39,5498103922,,,,,,,,,,,,,,,,,,,,,,
40,3658102337,,,,,,,,,,,,,,,,,,,,,,
41,3028109597,,,,,,,,,,,,,,,,,,,,,,
42,5428608963,,,,,,,,,,,,,,,,,,,,,,
43,5028107114,,,,,,,,,,,,,,,,,,,,,,
44,1048607460,,,,,,,,,,,,,,,,,,,,,,
45,5518608991,,,,,,,,,,,,,,,,,,,,,,
46,5048105076,,,,,,,,,,,,,,,,,,,,,,
47,3058605060,,,,,,,,,,,,,,,,,,,,,,
48,4788602424,,,,,,,,,,,,,,,,,,,,,,
49,2208602238,,,,,,,,,,,,,,,,,,,,,,
50,1138607964,,,,,,,,,,,,,,,,,,,,,,
51,1108108816,,,,,,,,,,,,,,,,,,,,,,
52,1268101583,['백영방'],,['주식회사 대성'],1988-05-19,3.02E+12,소멸,자동차의사이드미러용경첩,['M323'],M01,"['M323T', 'M323']",,,"['김성진', '조현희']",,,,,1989-06-29,,,1989-05-19,3.00E+12
