,BusinessNum,agentName,applicantName,applicationDate,applicationNumber,classificationCode,registrationNumber,title
0,1051505526,,,,,,,
1,2118605035,,,,,,,
2,2298104710,,,,,,,
3,4818104219,,,,,,,
4,1178100918,,,,,,,
5,1288606638,,,,,,,
6,1233701798,,,,,,,
7,2118603748,['서병령'],['주식회사 신정에스앤더블유'],2011-01-12,4.02E+12,['19'],4.01E+12,Rustic View
8,2028105909,,,,,,,
9,5048106900,,,,,,,
10,1050206258,,,,,,,
11,5060508258,,,,,,,
12,2068609732,,,,,,,
13,2068601162,,,,,,,
14,1198708247,,,,,,,
15,5368103050,['남진우'],['주식회사 브이에스컴퍼니'],2021-05-10,4.02E+12,['09'],,케이엠
16,4648803814,,,,,,,
17,1078701576,,,,,,,
18,1108101669,,,,,,,
19,1011106242,,,,,,,
20,1068604853,,,,,,,
21,8878704066,,,,,,,
22,5108109470,,,,,,,
23,3268803610,['특허법인더웨이브'],['(주)굿즈컴퍼니'],2022-05-09,4.02E+12,['38'],,거북이클럽
24,3268803610,['리앤목특허법인'],['(주)굿즈컴퍼니'],2019-03-05,4.02E+12,['03'],4.02E+12,우화만 woohwaman
25,3148601760,,,,,,,
26,1101107959,,,,,,,
27,3558800632,,,,,,,
28,1208608270,,,,,,,
29,1048607991,,,,,,,
30,5498103922,,,,,,,
31,3658102337,,,,,,,
32,3028109597,,,,,,,
33,5428608963,,,,,,,
34,5028107114,,,,,,,
35,1048607460,,,,,,,
36,5518608991,,,,,,,
37,5048105076,,,,,,,
38,3058605060,,,,,,,
39,4788602424,,,,,,,
40,2208602238,,['주식회사 메타씨티'],2006-12-15,4.12E+12,['38'],,엠포스
41,1138607964,,,,,,,
42,1108108816,,,,,,,
43,1268101583,,,,,,,
44,1058709074,,,,,,,
45,5048100635,,,,,,,
46,2118700538,,,,,,,
47,3038105176,,,,,,,
48,4318603453,,,,,,,
49,2068600943,,['주식회사 한국생활건강'],2018-03-27,4.02E+12,"['05', '29']",,paleo SUPER FOOD HEMP OIL PALEO SUPER FOOD
50,2068600943,,['주식회사 한국생활건강'],2020-03-23,4.02E+12,['29'],4.02E+12,paleo+
51,2068600943,['특허법인(유한) 대아'],['주식회사 한국생활건강'],2015-02-04,4.02E+12,"['29', '30']",4.01E+12,한국생활건강 KHC KOREA HEALTH CARE
52,2068600943,,['주식회사 한국생활건강'],2018-08-07,4.02E+12,['05'],4.02E+12,한생방
53,2068600943,,['주식회사 한국생활건강'],2020-06-02,4.02E+12,['05'],4.02E+12,NMC Natural Mineral Coating PROBIOTICS
54,2068600943,,['주식회사 한국생활건강'],2020-06-18,4.02E+12,['29'],4.02E+12,Thingle
55,1138603978,,,,,,,
56,1198600239,,,,,,,
57,6168504643,,,,,,,
58,1068104580,,,,,,,
59,6108108585,,,,,,,
60,2648102754,,,,,,,
61,1318102125,,,,,,,
62,2118808436,,,,,,,
63,4588606459,,,,,,,
64,1318602138,,,,,,,
65,1198601888,,,,,,,
66,2268108667,,,,,,,
67,4538809912,,,,,,,
68,1058706946,,,,,,,
69,6848106803,,,,,,,
70,3128103383,,,,,,,
71,4188101049,,,,,,,
72,6748104025,['최승욱'],['(주)메타몰프'],2018-06-19,4.02E+12,['40'],4.01E+12,Morpware
73,1088107283,,,,,,,
74,1328708050,,,,,,,
75,1748804288,,,,,,,
76,1088104508,,,,,,,
77,4888702879,,,,,,,
78,1308604793,,,,,,,
79,1198109510,,,,,,,
80,1051008337,,,,,,,
81,2618107701,,,,,,,
82,1058704293,,,,,,,
83,6778801828,,,,,,,
84,1198601431,,,,,,,
85,5028104667,"['최영규', '장순부']",['주식회사 우일기업'],2006-09-19,4.12E+12,['36'],,(주)우일기업
86,1098602765,,,,,,,
87,5438104785,,,,,,,
88,8788100417,,,,,,,
89,4828803203,,,,,,,
90,6138100392,['양재욱'],['디엘건설 주식회사'],2013-07-05,4.02E+12,['31'],4.01E+12,SAMHO
91,6138100392,['특허법인우인'],"['디엘건설 주식회사', '(주)삼일씨엔에스', '디엘 주식회사', '디엘모터스 주식회사', '대림비앤코주식회사', '대림통상 주식회사']",2007-04-24,4.02E+12,['06'],4.01E+12,DAELIM Hypile
92,6138100392,['장훈'],"['대림통상 주식회사', '대림비앤코주식회사', '(주)삼일씨엔에스', '디엘 주식회사', '디엘모터스 주식회사', '디엘건설 주식회사']",2008-11-10,5.62E+12,['06'],4.00E+12,대림
93,6138100392,['장훈'],"['디엘건설 주식회사', '디엘모터스 주식회사', '디엘 주식회사', '대림통상 주식회사', '대림비앤코주식회사', '(주)삼일씨엔에스']",2008-11-10,5.02E+12,['34'],4.00E+12,대림
94,6138100392,"['황의창', '이수웅']","['대림통상 주식회사', '디엘모터스 주식회사', '(주)삼일씨엔에스', '디엘 주식회사', '대림비앤코주식회사', '디엘건설 주식회사']",2000-01-04,5.02E+12,['03'],4.00E+12,대림 대림 DAELIM
95,6138100392,"['김종화', '이수웅']","['(주)삼일씨엔에스', '고려개발 주식회사', '대림엔지니어링 주식회사', '주식회사 대림', '대림비앤코주식회사', '주식회사 대한상호신용금고', '디엘건설 주식회사', '대림아이앤에스주식회사', '디엘 주식회사', '대림흥산 주식회사', '디엘모터스 주식회사', '글래드호텔앤리조트 주식회사', '유진투자증권 주식회사']",1996-11-12,4.02E+12,['052'],4.00E+12,21
96,6138100392,"['이수웅', '김종화']","['대림비앤코주식회사', '대림아이앤에스주식회사', '주식회사 대한상호신용금고', '주식회사 대림', '글래드호텔앤리조트 주식회사', '유진투자증권 주식회사', '고려개발 주식회사', '디엘 주식회사', '(주)삼일씨엔에스', '디엘건설 주식회사', '디엘모터스 주식회사', '대림엔지니어링 주식회사', '대림흥산 주식회사']",1997-10-06,7.02E+12,['033'],4.00E+12,21
97,6138100392,"['이수웅', '황의창']","['디엘 주식회사', '대림비앤코주식회사', '(주)삼일씨엔에스', '디엘모터스 주식회사', '대림통상 주식회사', '디엘건설 주식회사']",2001-04-19,5.02E+12,"['01', '04']",4.00E+12,
