,BusinessNum,cmpCd,cmpNm,cmpScl,criGrd,accDate,grdDesc
0,1051505526,,,,,,
1,2118605035,,,,,,
2,2298104710,,,,,,
3,4818104219,,,,,,
4,1178100918,1673782,엠피엠지,중소기업,A2,2022-07-19,"양호한 단기거래 신용능력을 보유하여, 채무불이행으로 인한 위험 가능성이 낮으며, 현 단계에서 합리적으로 예측 가능한 장래의 어떠한 환경변화에 대한 대처능력이 상당한 수준"
5,1288606638,,,,,,
6,1233701798,,,,,,
7,2118603748,,,,,,
8,2028105909,1279733,유니트란스,중소기업,B2,2022-07-19,"비교적 무난한 수준의 단기거래 신용능력을 보유하지만, 장래의 거래안정성에 다소 부정적인 요인이 내재되어 있는 수준"
9,5048106900,,,,,,
10,1050206258,,,,,,
11,5060508258,,,,,,
12,2068609732,,,,,,
13,2068601162,,,,,,
14,1198708247,,,,,,
15,5368103050,8988819,브이에스컴퍼니,중소기업,A3,2022-07-19,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준"
16,4648803814,,,,,,
17,1078701576,,,,,,
18,1108101669,,,,,,
19,1011106242,,,,,,
20,1068604853,,,,,,
21,8878704066,,,,,,
22,5108109470,,,,,,
23,3268803610,,,,,,
24,3148601760,,,,,,
25,1101107959,,,,,,
26,3558800632,,,,,,
27,1208608270,,,,,,
28,1048607991,,,,,,
29,5498103922,,,,,,
30,3658102337,,,,,,
31,3028109597,1158690,동우산업개발,중소기업,B1,2022-07-19,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준"
32,5428608963,,,,,,
33,5028107114,,,,,,
34,1048607460,,,,,,
35,5518608991,,,,,,
36,5048105076,,,,,,
37,3058605060,4092839,라온,중소기업,A3,2022-07-19,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준"
38,4788602424,,,,,,
39,2208602238,,,,,,
40,1138607964,,,,,,
41,1108108816,1317882,(주)태형피엔씨,중소기업,B3,2022-02-15,"단기간의 신용능력은 인정되지만, 향후 환경변화에 따른 지급확실성 저하 가능성이 상존하는 수준"
42,1268101583,,,,,,
43,1058709074,,,,,,
44,5048100635,,,,,,
45,2118700538,,,,,,
46,3038105176,,,,,,
47,4318603453,,,,,,
48,2068600943,,,,,,
49,1138603978,2783324,티쓰리큐,중소기업,A3,2022-07-19,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준"
50,1198600239,,,,,,
51,6168504643,,,,,,
52,1068104580,,,,,,
53,6108108585,,,,,,
54,2648102754,,,,,,
55,1318102125,,,,,,
56,2118808436,,,,,,
57,4588606459,,,,,,
58,1318602138,,,,,,
59,1198601888,,,,,,
60,2268108667,,,,,,
61,4538809912,,,,,,
62,1058706946,,,,,,
63,6848106803,,,,,,
64,3128103383,,,,,,
65,4188101049,,,,,,
66,6748104025,,,,,,
67,1088107283,,,,,,
68,1328708050,8646636,(주)씨지테일,중소기업,C3,2022-05-15,채무불이행 발생 가능성이 높아 향후 회복가능성이 낮고 적기 상환능력이 의심되는 수준으로 현금거래가 요망되는 위험 수준
69,1748804288,,,,,,
70,1088104508,2820880,에스알포스트,중소기업,A3,2022-07-19,"우위의 단기거래 신용능력이 인정되어, 채무불이행으로 인한 위험 가능성이 비교적 낮은 편이지만, 현 단계에서 예측 가능한 환경변화에 대한 대처능력이 제한적인 수준"
71,4888702879,,,,,,
72,1308604793,,,,,,
73,1198109510,,,,,,
74,1051008337,,,,,,
75,2618107701,,,,,,
76,1058704293,,,,,,
77,6778801828,,,,,,
78,1198601431,,,,,,
79,5028104667,,,,,,
80,1098602765,,,,,,
81,5438104785,,,,,,
82,8788100417,,,,,,
83,4828803203,,,,,,
84,6138100392,,,,,,
85,1498706673,,,,,,
86,5938107602,,,,,,
87,2018102169,,,,,,
88,8388106170,,,,,,
89,1208708457,,,,,,
90,1058209898,,,,,,
91,1358108765,,,,,,
92,2068600800,,,,,,
93,1448102883,,,,,,
94,8078102394,,,,,,
95,6071409094,,,,,,
96,6058507890,,,,,,
97,1728600874,,,,,,
98,1051102853,,,,,,
99,2148100999,,,,,,
100,1198101721,,,,,,
101,2078102534,,,,,,
102,6228106721,9306653,성원산업개발,중소기업,B1,2022-07-19,"적정 수준의 단기거래 신용능력을 보유하지만, 급격한 환경변화에 따라 거래안정성에 다소 영향 받을 가능성이 있는 수준"
103,2608600370,,,,,,
104,8388703264,,,,,,
105,2218109157,,,,,,
106,1198105626,,,,,,
107,1108106935,,,,,,
108,5648108012,,,,,,
109,4028108820,,,,,,
110,4128106848,,,,,,
111,4725105662,,,,,,
112,2208106897,,,,,,
113,4028109789,,,,,,
114,8520109919,,,,,,
115,4091804389,,,,,,
116,3738107789,,,,,,
117,1178809986,,,,,,
118,1068607319,,,,,,
119,6138107603,,,,,,
120,4748603254,,,,,,
121,1368702594,,,,,,
122,1198101660,,,,,,
123,3608605813,,,,,,
124,1408104490,,,,,,
125,1078109144,,,,,,
126,1208707200,,,,,,
127,7048809588,,,,,,
128,1408805480,,,,,,
129,4723804039,,,,,,
130,2129509991,,,,,,
131,1078103301,,,,,,
132,6528706526,,,,,,
133,4588702304,,,,,,
134,6598708888,,,,,,
135,1328601944,,,,,,
136,1348101402,,,,,,
137,8798700491,,,,,,
138,2118702236,,,,,,
139,1388100885,,,,,,
140,2018609076,,,,,,
141,2648102998,,,,,,
142,2068807294,,,,,,
143,2088700897,,,,,,
144,1138706011,,,,,,
145,2548803140,,,,,,
146,4708604376,6666121,(주)진스엠파워,중소기업,C2,2022-04-15,"채무불이행 발생 가능성을 내포하고 있으며, 상위등급에 비해 거래안정성이 매우 낮은 수준으로 경계가 요망되는 수준"
147,2268100963,,,,,,
148,2108108201,,,,,,
