BusinessNum,agentName,appReferenceNumber,applicantName,applicationDate,applicationNumber,applicationStatus,articleName,designMainClassification,designNumber,dsShpClssCd,internationalRegisterDate,internationalRegisterNumber,inventorName,openDate,openNumber,priorityDate,priorityNumber,publicationDate,publicationNumber,regReferenceNumber,registrationDate,registrationNumber
1051505526,,,,,,,,,,,,,,,,,,,,,,
1288606638,,,['주식회사 라온'],2010-04-13,3020000000000.0,거절,요실금 및 변실금 치료를 위한 신체기관 지지 장치,['J750'],M01,['J750'],,,['황영호'],2010-05-11,3020000000000.0,,,,,,,
1233701798,['남진우'],,"['주식회사 에코엔지니어링', '주식회사 나인테크']",2003-04-11,3020000000000.0,소멸,연수기,['K640'],M01,['K640'],,,"['선남규', '주기중']",,,,,2003-12-31,,,2003-12-16,3000000000000.0
5368103050,['배철우'],,['주식회사 브이에스컴퍼니'],2019-07-16,3020000000000.0,등록,휴대폰 케이스,"['H33193', 'H590']",M001,"['H33193', 'H590']",,,['조성수'],,,,,2019-12-13,,,2019-12-09,3010000000000.0
1068604853,['특허법인메이저'],,['(주)파란마당'],2020-09-18,3020000000000.0,등록,휴대폰 거치대용 높이 조절구,"['H33192', 'H33190', 'H590']",M001,"['H33190', 'H33192', 'H590']",,,['이상준'],,,,,2021-01-05,,,2020-12-28,3010000000000.0
1101107959,['특허법인 무한'],,['(주)비엠에스'],2015-08-24,3020000000000.0,등록,족욕기,['J756'],M001,['J756'],,,['문신일'],2015-10-27,3020000000000.0,,,2016-08-29,,,2016-08-19,3010000000000.0
1268101583,['백영방'],,['주식회사 대성'],1988-05-19,3020000000000.0,소멸,자동차의사이드미러용경첩,['M323'],M01,"['M323T', 'M323']",,,"['김성진', '조현희']",,,,,1989-06-29,,,1989-05-19,3000000000000.0
1748804288,['특허법인엠에이피에스'],,['주식회사 노리앤드'],2018-08-30,3020000000000.0,등록,웨어러블 단말기용 손목밴드,"['H592', 'H33190', 'H590', 'J2392']",M001,"['H592', 'H33190', 'H590', 'J2392']",,,['이혜진'],,,,,2019-03-14,,,2019-03-06,3010000000000.0
1051008337,['황정현'],,['주식회사 크린토피아'],2018-10-19,3020000000000.0,거절,옷걸이,['D1111'],M001,['D1111'],,,['이범택'],2019-11-06,3020000000000.0,,,,,,,
2148100999,"['강경찬', '변창규']",,['주식회사 시공사'],2006-12-13,3020000000000.0,소멸,캐릭터카드,['E223'],M01,['E223'],,,['금창호'],,,,,2007-10-25,,,2007-10-19,3000000000000.0
1198101721,['황창옥'],,['주식회사 신관산업'],2011-11-03,3020000000000.0,등록,비상 호출기,['H4121'],M01,['H4121'],,,['이철재'],,,,,2012-11-01,,,2012-10-25,3010000000000.0
1198105626,['김종수'],,['모아통신 주식회사'],2000-04-28,3020000000000.0,소멸,통신용 마이크로 필터,['H1430'],M01,['H1430'],,,['원제혁'],,,,,2001-08-08,,,2001-06-14,3000000000000.0
4028109789,['특허법인아이엠'],,['성우건설주식회사'],2018-01-23,3020000000000.0,등록,옹벽용 콘크리트 패널,['L22121'],M001,['L22121'],,,['이형호'],,,,,2018-08-10,,,2018-08-02,3010000000000.0
4091804389,['특허법인우린'],,['진흥기업주식회사'],2008-09-12,3020000000000.0,소멸,아파트 입구용 문주,"['L350', 'L350']",M01,['L350'],,,['이기웅'],,,,,2010-01-20,,,2010-01-12,3010000000000.0
3738107789,['최덕용'],,"['주식회사 넵스', '두산건설 주식회사']",2011-10-10,3020000000000.0,등록,주방용 수납장,['D25173'],M01,['D25173'],,,"['변인우', '박현정', '송인택', '조동희', '김남준', '이재욱']",,,,,2012-10-17,,,2012-10-11,3010000000000.0
1178809986,['특허법인 케이투비'],,['(주)씨앤테크'],2017-03-13,3020000000000.0,등록,도난방지용 감지기,"['H1560', 'J630']",M001,"['H1560', 'J630']",,,['이정훈'],,,,,2017-12-04,,,2017-11-28,3010000000000.0
1078103301,['유영대'],,['(주)포인트닉스'],2003-09-01,3020000000000.0,소멸,치과용 카메라,"['J7361', 'J762']",M01,"['J7361', 'J762']",,,['정좌락'],,,,,2004-07-01,,,2004-06-03,3000000000000.0
2018609076,['송세근'],,['주식회사 에이유테크'],2015-03-20,3020000000000.0,소멸,휴대단말기용 보조배터리,['H182'],M001,['H182'],,,['조근호'],,,,,2015-10-22,,,2015-10-12,3010000000000.0
2108108201,"['이우영', '이은철']",,['(주)모스트앤컴퍼니'],2010-02-03,3020000000000.0,소멸,안내 표지판,['F510C'],M01,['F510C'],,,['심장보'],,,,,2010-02-26,,,2010-02-22,3010000000000.0
6138107051,['양정근'],,['(주)태우산업'],2017-01-04,3020000000000.0,등록,레저용 보트,['G321'],M001,['G321'],,,['전진용'],,,,,2017-06-05,,,2017-05-29,3010000000000.0
1278608137,['특허법인로얄'],,['주식회사 아우라'],2014-07-24,3020000000000.0,등록,관 이음매용 링,['M24190'],M001,['M24190'],,,['정선민'],,,,,2015-03-02,,,2015-02-23,3010000000000.0
1058704837,['이정현'],,"['주식회사 중앙디자인', '(주)자드미디어웍스', '(주)아진산전']",2009-12-22,3020000000000.0,등록,진열장용 프레임,['F52910'],M01,['F52910'],,,"['황정제', '김두오', '이동수', '이정재']",,,,,2010-06-10,,,2010-06-01,3010000000000.0
1138601008,['특허법인 신태양'],,['(주)아이티로그'],2017-06-01,3020000000000.0,소멸,간판용 프레임,['F5190'],M001,['F5190'],,,"['윤태운', '김상식', '최부성']",,,,,2018-03-20,,,2018-03-14,3010000000000.0
1378806252,['해움특허법인'],,['(주)플러스티브이'],2018-03-12,3020000000000.0,등록,화상디자인이 표시된 디스플레이 패널,"['H1721S', 'H3301S', 'H4333S', 'H51S', 'H540S']",M001,"['H4333S', 'H51S', 'H1721S', 'H3301S', 'H540S']",,,['조재화'],,,,,2018-09-18,,,2018-09-10,3010000000000.0
1052306139,['최박용'],,['이종혁'],1986-03-19,3020000000000.0,소멸,음료용기,['F450B'],M01,['F450B'],,,['이종혁'],,,,,1987-04-04,,,1987-02-24,3000000000000.0
2148804352,['박종욱'],,['(주)리우솔루션'],2014-04-04,3020000000000.0,등록,공조 시스템용 센서,"['H1558', 'H1560']",M01,"['H1558', 'H1560']",,,['김상건'],,,,,2014-06-19,,,2014-06-13,3010000000000.0
1232402587,['서대석'],,['에스케이건설 주식회사'],1993-09-25,3020000000000.0,소멸,문틀설치용거푸집,['L1310'],M01,"['L1310', 'L1310T']",,,['유용민'],,,,,1994-10-06,,,1994-09-02,3000000000000.0
1131201292,,,['주식회사 에스티'],2018-03-29,3020000000000.0,등록,방음터널,['L2120'],M001,['L2120'],,,['최두영'],,,,,2019-06-21,,,2019-06-14,3010000000000.0
1050504300,['윤의상'],,['(주)폴리텍'],2007-03-02,3020000000000.0,등록,가스배관용 분기공 형성 커터,['M24190'],M01,['M24190'],,,['최지호'],,,,,2008-02-22,,,2008-02-15,3000000000000.0
5138108838,['김동우'],,['주식회사 이지네트워크'],2000-09-07,3020000000000.0,소멸,컴퓨터,['H51'],M01,['H51'],,,['전종찬'],,,,,2002-04-11,,,2002-03-23,3000000000000.0
1378601432,"['이명택', '정중원', '최지연', '김민규']",,['오케이통신 (주)'],2014-12-12,3020000000000.0,등록,네트워크 비상벨,['H4121'],M001,['H4121'],,,['천중영'],,,,,2015-09-01,,,2015-08-25,3010000000000.0
1208700159,['특허법인아주'],,['주식회사 지티지'],2020-05-12,3020000000000.0,등록,방석,['C120'],M001,['C120'],,,['임동균'],,,,,2021-05-27,,,2021-05-21,3010000000000.0
