BusinessNum,agentName,applicantName,applicationDate,applicationNumber,classificationCode,registrationNumber,title
1051505526,,,,,,,
2118603748,['서병령'],['주식회사 신정에스앤더블유'],2011-01-12,4020000000000.0,['19'],4010000000000.0,Rustic View
5368103050,['남진우'],['주식회사 브이에스컴퍼니'],2021-05-10,4020000000000.0,['09'],,케이엠
3268803610,['특허법인더웨이브'],['(주)굿즈컴퍼니'],2022-05-09,4020000000000.0,['38'],,거북이클럽
2208602238,,['주식회사 메타씨티'],2006-12-15,4120000000000.0,['38'],,엠포스
2068600943,,['주식회사 한국생활건강'],2018-03-27,4020000000000.0,"['05', '29']",,paleo SUPER FOOD HEMP OIL PALEO SUPER FOOD
6748104025,['최승욱'],['(주)메타몰프'],2018-06-19,4020000000000.0,['40'],4010000000000.0,Morpware
5028104667,"['최영규', '장순부']",['주식회사 우일기업'],2006-09-19,4120000000000.0,['36'],,(주)우일기업
6138100392,['양재욱'],['디엘건설 주식회사'],2013-07-05,4020000000000.0,['31'],4010000000000.0,SAMHO
2148100999,"['유미특허법인', '김원호']",['주식회사 시공사'],1999-12-09,4020000000000.0,['16'],4000000000000.0,카사데코 CASADECO
6228106721,['이상진'],"['성원건설(주)', '성원산업개발(주)']",2003-08-08,4120000000000.0,['36'],4100000000000.0,상떼뷰리젠시
8388703264,['최경수'],['에이원종합건설(주)'],2002-10-21,4120000000000.0,"['36', '37']",4100000000000.0,에이원종합건설 AONE
4028109789,['방상호'],['성우건설 주식회사'],2013-04-26,4120000000000.0,['36'],4100000000000.0,미래아트
4091804389,"['양영준', '이길상']",['진흥기업주식회사'],2008-03-20,4020000000000.0,['33'],,더루벤스 THE RUBENS
3738107789,['이민웅'],['두산건설 주식회사'],2003-04-23,4120000000000.0,['36'],,We've POSEIDON Golden Bridge
6528706526,['특허법인 누리'],['한국통합민원센터 주식회사'],2021-11-30,4020000000000.0,['09'],,슬기로운지하철생활
4708604376,['서동원'],['주식회사 진스엠파워'],2020-10-13,4020000000000.0,['41'],4020000000000.0,이엠파워 이너피트니스
2118702099,,['주식회사 아메바컬쳐'],2018-01-19,4020000000000.0,['25'],4010000000000.0,Act made
5868103558,['구공호'],['주식회사 컬처웨이'],2019-03-12,4020000000000.0,['41'],,빅게임헌터
2208803433,['황보의'],['매드스퀘어 주식회사'],2022-04-12,4020000000000.0,['35'],,CHIYOU
8204409316,['구기완'],['주식회사 아이티라인'],2004-08-20,4120000000000.0,['43'],4100000000000.0,칠십팔번지 78 ON THE RISE
6168607659,,['제주동백 주식회사'],2017-01-28,4020000000000.0,['43'],,카멜리아 Camellia
2138601148,,['주식회사 지오소프트'],2000-03-08,4120000000000.0,['42'],,[주]지오소프트
4178103172,['특허법인아주'],['창성건설 주식회사'],2021-04-30,4020000000000.0,['36'],4020000000000.0,비디에이치 BDH
2110605903,['황보의'],['주식회사 하이브'],2012-07-19,4020000000000.0,['25'],,
4668601446,['오종환'],['주식회사 에이원'],2008-07-21,4020000000000.0,['05'],,데오레쉬
5940900141,,['주식회사 모아'],2021-01-19,4020000000000.0,['41'],,moa FUTURE
6968606032,['특허법인 웰'],['성원건설(주)'],2002-04-29,4020000000000.0,['24'],4010000000000.0,Geo Tube
