,BusinessNum,applicantName,applicationDate,applicationNumber,inventionTitle,ipcNumber,registerNumber,registerStatus
0,1051505526,,,,,,,
1,2118605035,,,,,,,
2,2298104710,,,,,,,
3,4818104219,,,,,,,
4,1178100918,,,,,,,
5,1288606638,,,,,,,
6,1233701798,,,,,,,
7,2118603748,,,,,,,
8,2028105909,,,,,,,
9,5048106900,,,,,,,
10,1050206258,,,,,,,
11,5060508258,,,,,,,
12,2068609732,,,,,,,
13,2068601162,,,,,,,
14,1198708247,,,,,,,
15,5368103050,,,,,,,
16,4648803814,,,,,,,
17,1078701576,,,,,,,
18,1108101669,,,,,,,
19,1011106242,,,,,,,
20,1068604853,,,,,,,
21,8878704066,,,,,,,
22,5108109470,,,,,,,
23,3268803610,,,,,,,
24,3148601760,,,,,,,
25,1101107959,,,,,,,
26,3558800632,,,,,,,
27,1208608270,,,,,,,
28,1048607991,,,,,,,
29,5498103922,,,,,,,
30,3658102337,,,,,,,
31,3028109597,,,,,,,
32,5428608963,,,,,,,
33,5028107114,,,,,,,
34,1048607460,,,,,,,
35,5518608991,,,,,,,
36,5048105076,,,,,,,
37,3058605060,,,,,,,
38,4788602424,,,,,,,
39,2208602238,,,,,,,
40,1138607964,,,,,,,
41,1108108816,,,,,,,
42,1268101583,,,,,,,
43,1058709074,,,,,,,
44,5048100635,,,,,,,
45,2118700538,,,,,,,
46,3038105176,,,,,,,
47,4318603453,,,,,,,
48,2068600943,,,,,,,
49,1138603978,,,,,,,
50,1198600239,,,,,,,
51,6168504643,,,,,,,
52,1068104580,,,,,,,
53,6108108585,,,,,,,
54,2648102754,,,,,,,
55,1318102125,,,,,,,
56,2118808436,,,,,,,
57,4588606459,,,,,,,
58,1318602138,,,,,,,
59,1198601888,,,,,,,
60,2268108667,,,,,,,
61,4538809912,,,,,,,
62,1058706946,,,,,,,
63,6848106803,,,,,,,
64,3128103383,,,,,,,
65,4188101049,,,,,,,
66,6748104025,,,,,,,
67,1088107283,,,,,,,
68,1328708050,,,,,,,
69,1748804288,,,,,,,
70,1088104508,,,,,,,
71,4888702879,,,,,,,
72,1308604793,,,,,,,
73,1198109510,,,,,,,
74,1051008337,,,,,,,
75,2618107701,,,,,,,
76,1058704293,,,,,,,
77,6778801828,,,,,,,
78,1198601431,,,,,,,
79,5028104667,,,,,,,
80,1098602765,,,,,,,
81,5438104785,,,,,,,
82,8788100417,,,,,,,
83,4828803203,,,,,,,
84,6138100392,"['영신기공 (주)', '디엘건설 주식회사']",2000-05-04,2.02E+12,교량 유지 및 보수작업용 이동식 작업차의 행거장치,"['E01D 19/10', 'E01D 22/00', 'B66F 11/04', 'E04G 3/28']",2.00E+12,소멸
85,1498706673,,,,,,,
86,5938107602,,,,,,,
87,2018102169,,,,,,,
88,8388106170,,,,,,,
89,1208708457,,,,,,,
90,1058209898,,,,,,,
91,1358108765,,,,,,,
92,2068600800,,,,,,,
93,1448102883,,,,,,,
94,8078102394,,,,,,,
95,6071409094,,,,,,,
96,6058507890,,,,,,,
97,1728600874,,,,,,,
98,1051102853,,,,,,,
99,2148100999,,,,,,,
100,1198101721,,,,,,,
101,2078102534,,,,,,,
102,6228106721,,,,,,,
103,2608600370,,,,,,,
104,8388703264,,,,,,,
105,2218109157,,,,,,,
106,1198105626,,,,,,,
107,1108106935,,,,,,,
108,5648108012,,,,,,,
109,4028108820,,,,,,,
110,4128106848,,,,,,,
111,4725105662,,,,,,,
112,2208106897,,,,,,,
113,4028109789,,,,,,,
114,8520109919,,,,,,,
115,4091804389,,,,,,,
116,3738107789,,,,,,,
117,1178809986,,,,,,,
118,1068607319,,,,,,,
119,6138107603,,,,,,,
120,4748603254,,,,,,,
121,1368702594,,,,,,,
122,1198101660,,,,,,,
123,3608605813,,,,,,,
124,1408104490,,,,,,,
125,1078109144,,,,,,,
126,1208707200,,,,,,,
127,7048809588,,,,,,,
128,1408805480,,,,,,,
129,4723804039,,,,,,,
130,2129509991,,,,,,,
131,1078103301,,,,,,,
132,6528706526,,,,,,,
133,4588702304,,,,,,,
134,6598708888,,,,,,,
135,1328601944,,,,,,,
136,1348101402,,,,,,,
137,8798700491,,,,,,,
138,2118702236,,,,,,,
139,1388100885,,,,,,,
140,2018609076,,,,,,,
141,2648102998,,,,,,,
142,2068807294,,,,,,,
143,2088700897,,,,,,,
144,1138706011,,,,,,,
145,2548803140,,,,,,,
146,4708604376,,,,,,,
147,2268100963,,,,,,,
148,2108108201,,,,,,,
149,2118702099,,,,,,,
150,6138107051,,,,,,,
151,1278608137,,,,,,,
152,8538605403,,,,,,,
153,1058708631,,,,,,,
154,1058704837,,,,,,,
155,1218103764,,,,,,,
156,8328806863,,,,,,,
157,1058707499,,,,,,,
158,1138601008,,,,,,,
159,1218100534,,,,,,,
160,1138107504,,,,,,,
161,1378806252,,,,,,,
162,1052306139,,,,,,,
163,4188107625,,,,,,,
164,5868103558,,,,,,,
165,6708105431,,,,,,,
166,2148804352,,,,,,,
167,5058108440,,,,,,,
168,2268608592,,,,,,,
169,6848605240,,,,,,,
170,1358107212,,,,,,,
171,1232402587,,,,,,,
172,2148605120,,,,,,,
173,1148602144,,,,,,,
174,1098605049,,,,,,,
175,6058109311,,,,,,,
176,1218103619,,,,,,,
177,5178106027,,,,,,,
178,7748708955,,,,,,,
179,1131201292,,,,,,,
180,1050504300,,,,,,,
181,6358703369,,,,,,,
182,2468106208,,,,,,,
183,1548703545,,,,,,,
184,5058107658,,,,,,,
185,2208803433,,,,,,,
186,5048101600,,,,,,,
187,2458809663,,,,,,,
188,5138108838,['주식회사 이지네트워크'],1999-11-18,2.02E+12,회의용 정보 단말기,"['G06F 1/16', 'G06F 3/023']",2.00E+12,소멸
189,5348603187,,,,,,,
190,2208809569,,,,,,,
191,1198602789,,,,,,,
192,1228604954,,,,,,,
193,1178107908,,,,,,,
194,6038200532,,,,,,,
195,8204409316,,,,,,,
196,6958605149,,,,,,,
197,1378601432,,,,,,,
198,8728607695,,,,,,,
199,1198606362,,,,,,,
200,5368601488,,,,,,,
201,3128106162,,,,,,,
202,1758800448,,,,,,,
