BusinessNum,applicantName,applicationDate,applicationNumber,inventionTitle,ipcNumber,registerNumber,registerStatus
6138100392,"['영신기공 (주)', '디엘건설 주식회사']",2000-05-04,2020000000000.0,교량 유지 및 보수작업용 이동식 작업차의 행거장치,"['E01D 19/10', 'E01D 22/00', 'B66F 11/04', 'E04G 3/28']",2000000000000.0,소멸
5138108838,['주식회사 이지네트워크'],1999-11-18,2020000000000.0,회의용 정보 단말기,"['G06F 1/16', 'G06F 3/023']",2000000000000.0,소멸
5755606940,['주식회사 코네코'],2006-02-16,2020000000000.0,포세식 변기의 냄새 역류 방지 장치,"['E03D 11/10', 'E03D 9/02']",2000000000000.0,소멸
6030502326,['에스케이텔레콤 주식회사'],2002-10-07,2020000000000.0,휴대폰 단말기,['H04M 1/02'],2000000000000.0,소멸
6548608600,['신영전기주식회사'],1983-08-08,2020000000000.0,배선용차단기의소호장치,['H01H 33/08'],2000000000000.0,소멸
6320100043,['주식회사 우진'],1997-09-19,2020000000000.0,전동차의제륜자계측장치,"['G01B 11/04', 'G01B 11/02', 'G01B 11/06', 'G01N 3/56', 'G01N 21/88']",,거절
6708800893,['우진전기주식회사'],1988-04-29,2020000000000.0,카셋트의착탈장치,"['G11B 15/66', 'G11B 15/675']",2000000000000.0,소멸
6818100057,['주식회사 케이씨'],2009-10-27,2020000000000.0,이송장치의 롤러,"['B65G 39/10', 'B65G 49/06', 'H01L 21/677', 'G02F 1/13']",2000000000000.0,소멸
5108107146,['대연종합건설(주)'],2006-11-21,2020000000000.0,협소부 천공 보조장치의 와이어로프 인상 장치,"['B28D 1/14', 'E01D 22/00']",,취하
5538801025,['(주)세진에프엔디'],2016-02-15,2020000000000.0,폴딩도어용 핸들장치,"['E05B 1/00', 'F16H 19/04']",2000000000000.0,등록
6698800060,"['주식회사 에이아이테크', '유제민']",1993-02-09,2020000000000.0,가스렌지후드의분기형자동소화용구,"['A62C 3/00', 'A62C 35/02', 'A62C 2/06']",,거절
6021504616,"['(주)유창이앤씨', '대한주택공사']",1997-02-19,2020000000000.0,강재 천정틀,"['E04B 9/20', 'E04B 9/16']",2000000000000.0,소멸
6063805894,"['(주)제이앤씨', '이순동']",2012-11-30,2020000000000.0,다기능 찜질기,"['A61F 7/02', 'A61H 39/06', 'A61F 7/00']",2000000000000.0,소멸
5632800051,['디 케이 주식회사'],2001-06-14,2020000000000.0,방진/방독 마스크,"['A62B 18/02', 'A62B 18/10', 'A62B 18/08']",2000000000000.0,소멸
6158102932,['우진종합건설 주식회사'],2004-02-20,2020000000000.0,인공 강재어초,"['A01K 61/73', 'E02B 3/04']",2000000000000.0,소멸
6108104155,['원진산업(주)'],2001-04-06,2020000000000.0,칼꽂이가 구비된 도마거치대,"['A47J 47/00', 'A47J 47/16']",2000000000000.0,소멸
5892400040,['주식회사 우진'],2013-09-23,2020000000000.0,전기방식용 MMO 튜블러전극,"['C23F 13/10', 'C23F 13/18']",2000000000000.0,소멸
6088100035,['주식회사 우진'],1997-09-19,2020000000000.0,전동차의팬타그라프습판마모측정장치,"['G01B 11/30', 'G01B 21/30', 'G01N 21/88']",2000000000000.0,소멸
8071600032,['주식회사 엘에스'],1984-08-17,2020000000000.0,케이블의제리충진장치,['H01B 13/32'],2000000000000.0,소멸
5901609169,['성진산업주식회사'],1992-09-16,2020000000000.0,자동제어광고기의광고판이송장치,"['G09F 11/32', 'G09F 11/12']",,거절
6211805277,['에스엘 주식회사'],1984-04-09,2020000000000.0,캐스터패드,['B60B 33/00'],,거절
8438808998,['주식회사신정산업'],1992-01-07,2020000000000.0,보강사입합지장치,['D21H 27/00'],2000000000000.0,소멸
