BusinessNum,Job,EmployeeStatus,ReviewDate,TotScore,PromotionScore,WelfareScore,BalanceScore,CultureScore,ExecutiveScore,ReviewTitle,Advantage,Disadvantage,ForExecutive,GrowthYN,RecommendYN
1051505526,,,,,,,,,,,,,,,
2298104710,엔지니어링,현직원,21-Apr,100.0,100.0,60.0,80.0,100.0,100.0,"""조경 업계에서 전문건설업으로 늘 TOP5 안에 드는 연혁 깊고 자부심을 가지게 해주는 회사""","1. 전반적으로 직원분들이 좋습니다.
2. 업무량에 따라 퇴근을 자율적으로 결정할 수 있습니다.
3. 원도급 조경직원분도 회사에 대해 인정해주며 프라이드를 느낄 수 있습니다.
4. ERP 시스템을 통해 체계적인 공사 관리가 가능합니다.
5. 연혁이 깊은 만큼 실력있는 현장소장, 반장님들이 다수 존재하고 공정에 체계가 잡혀 있습니다.
6. 복지가 빵빵하여 자금을 모으기 좋습니다. (통신비, 식대, 숙소, 기타 업무에 필요한 장비들 지원)","1. 일이 많을 땐 아주 늦게까지 할 때가 있습니다. (이건 어느 업종이나 매한가지 일 듯 합니다.)
2. 초봉이 조금 낮은 편이라 생각합니다.",조경 업계의 순위권을 유지할 수 있는 건 경영진분들 덕분이라 생각합니다. 늘 노고가 많으십니다...!!,성장,이 기업을 추천 합니다!
1178100918,미디어/홍보,현직원,21-Mar,20.0,20.0,40.0,20.0,20.0,20.0,"""K-엔터의 안좋은 예 그 자체, 앞뒤 꽉 막혀있으면서 깨어있고 자유로운 척 하는 곳""",연차 사용 자유로움. 소속 아티스트들 대체적으로 갑질 없고 착한편. 매년 해외로 워크샵.,"대학 조별과제보다 못한 업무분장. 물리적인 업무량은 많지만 전문성을 기르긴 힘듦= 비전있게 업무를 그려내지 못하고 그저 눈 앞의 일 쳐내기 급급함= 윗사람들이 회사의 비전이랄까 궁극적인 목표가 머릿속에 없으니 그럴 수 밖에. 모든 커뮤니케이션 방식은 한마디로 “경우없다”. 몰상식한곳인데 자기들끼리 자부심은 넘침. 자부심의 근원이 어디인지 신기할 따름... 열심히 한 만큼 보람이라도 있으면 하겠는데 하염없이 갈려나가는 느낌. 성장은 없고 소모만 크다. 전체적인 분위기가 너무 고여있고 건강하지 못함. 회사 오래 다닌 사람들은 이미 객관성을 상실, 정당한 피드백보단 다소 폭력적인 감정적 비난만 쇄도.","지금 2021년이고 여기 군대 아닙니다. 불만을 들었으면 입막음, 찍어 누르지 말고 해결을 해주십시오.",,이 기업을 추천하지 않습니다.
1198708247,IT/인터넷,전직원,20-Sep,20.0,20.0,20.0,20.0,20.0,20.0,"""IT계의 무덤이라고 보시면 됩니다. 신입들은 들어와서 잡일만 하다가 경력이 될만한 업무 하나도 하지 못하고 못버티고 퇴사하고 경력직도 별 차이 없습니다. 이 회사에 들어와서 이직하려고 다른 회사 면접보면서 무슨일 했냐고 물어보면 할 말이 없습니다. 부디 신중한 선택 하시기 바랍니다.""",월급과 별개로 구내식당 5000원짜리 식권이 나오고 맛있습니다. 모든 직원이 회사 대표와 척을 지고 일하기 때문에 직원들끼리는 대체로 사이가 좋습니다.,말하자면 끝이 없습니다. 1) 대표가 저녁8시에 회의할거니까 모든 직원들 퇴근하지 말고 남으라고 하더군요. 대표 8시에 들어와서 한시간동안 자기 지인과 회의실에서 대화하더니 대화 끝나고 9시 되어서야 회의 시작했습니다.  2) 점심에 통화중이길래 10분동안 대표실 앞(문열려있었음)에서 보라는듯이 기다렸습니다. 통화가 안끝나길래 밥먹으러 갔더니 나중에 직원들 앞에서 자기한테 말도 없이 먹으러갔냐고 큰소리치더군요. 식권 관리하는 직원한테 두번이나 또 전화걸어서 짜증내는거 보고 없는 정도 떨어졌습니다.  3) 제안서 작업때문에 직원들 밤을 샜는데 금요일에 직원들 쉬라고 하더군요 그런데 나중에 알고보니 그냥 쉰게 아니라 연차에서 하루 빼서 쉬게 한거였습니다.  4) 신입사원이 와서 회식을 했는데 대표가 신입사원한테 왜 그렇게 냄새가 나냐 피부색이 왜 어둡냐 한약사먹어라 하면서 신입사원을 짜증나게 하더군요. 회식에서 대표가 술에 취해서 이 회식은 신입사원때문에 하려고 한게 아니라 부서 직원들이 잘못해서 그 직원들 혼내려고 한 회식이라고 하다가 직원과 싸웠습니다. 결국 신입사원은 온지 하루만에 퇴사하고 싸운 직원도 얼마 안가 퇴사했습니다.  5) 휴가 갈때마다 왜 쓰는지 하나하나 다 물어봅니다. 이직 관련으로 휴가쓰려고 생각하셨다면 미리 사유 생각해놓으시기 바랍니다.  6) 연봉협상은 말 꺼내지 않으면 절대먼저 말안합니다. 연봉협상 했던 직원 이야기 들으면 직원을 깎아내려 기를 죽인다음 쥐꼬리만큼 올려주는식 연봉협상을 합니다  7) 대표가 직원들한테 폭언이 좀 심합니다. 모든 직원한테 그렇게 하는건 아니고 대표한테 찍힌 직원들한테 그렇게 합니다. 대표한테 무슨소리 들어도 반박못하면 대표한테 찍히니까 주의하시기 바랍니다  8) 제안서 작업을 하시는 분이 입사했는데 얼마 못가서 퇴사하더군요. 알고보니 대표가 이전에 작성했던 모든 제안서 자기한테 제출하라고 했었다고 합니다.,단점이 1000자까지밖에 안써져서 어쩔 수 없이 줄였습니다.  대표님 말씀하시는거 들어보면 능력이 있으신분 같은데 괜히 이렇게 피해자 계속 양성하지 마시고 사업 적당히 마무리 하시는게 본인에게나 직원들에게나 더 좋지 않을까 하고 생각합니다.,,
1011106242,,전직원,22-Mar,80.0,80.0,80.0,100.0,100.0,100.0,"""평균 직원 연령대가 20-30대로 젊은 편이며, 수평적인 조직문화를 가진 기업입니다.""",대표님께서 직원복지에 신경을 많이 쓰시며 연차가 낮은 사원도 의견피력을 할 수 있는 수평적인 분위기입니다.,디자이너들은 제너럴리스트 역량을 필요로 하며 다양한 업무를 해야할 경우가 있습니다.,근무 당시 리드 디자이너 인원이 충분하지 않았고 현재는 잘 모르겠습니다.,성장,이 기업을 추천 합니다!
3268803610,IT/인터넷,전직원,21-Nov,80.0,80.0,80.0,80.0,100.0,100.0,"""라이브 커머스 소셜에서 커리어를 쌓고 다양한 경험을 하고싶은 분들을 위한 최고의 직장""","눈치 안보고 정시 퇴근 가능 / 연차 사용 가능
수평적인 관계와 밝고 친목한 사무실 분위기
라이브 커머스라는 분야에서 다양한 경험과 업무 프로세스를 배울 수 있어요!","점심 식대가 제공된다면, 조금 더 좋을 것 같아요!
근처 식비가 너무 비싸기도 하고.. 점심 시간마다 고민이 되는 부분입니다..","대표님의 열정과 직원들의 업무 능력으로 성장 가능성이 무한한 회사지만, 사내 R&R이 명확하게 나눠져서 각자 자신의 업무에 집중 할 수 있는 환경이 만들어지면 더 빠른 속도록 발전 할 수 있을 것 같아요 / 현재, 직원들끼리 서로 돕고, 사이좋고 가족적인 분위기 너무 좋아요~",성장,이 기업을 추천 합니다!
1208608270,영업/제휴,전직원,20-Mar,100.0,100.0,60.0,100.0,100.0,100.0,"""회사성장이 빠르고, 영업환경이 좋은 회사, 젊은 직원들이 많아 회사분위기가 좋은 곳""","시장에서 유명한 자체솔루션보유하여 성장가능성이 높고, 경영진의 마인드가 좋음","복지제도가 다양하지만, 실제로 효과가 적어, 직원들이 느끼는 사내복지제도가 동종업계에 비해 더 개선될 여지가 있음. 기존직원들의 급여가 동종업계에 비해 낮아 업계수준조사하여 조정되어야할 필요가 있음",회사의 사업성장에 맞게 직원연봉과 복지가 개선된다면 대기업규모로 성장가능성 높은 회사,성장,이 기업을 추천 합니다!
1048607991,유통/무역,전직원,22-Feb,40.0,20.0,20.0,20.0,60.0,40.0,"""마포역 1분거리/인센 나쁘지않음/높은 업무강도/워라밸 없음/권한없는 책임/야근수당 없음/가족경영회사""","인센티브 나쁘지않고, 통신비 3만원씩 따로 나옴.
마포역 1분거리이고 역 앞에 카페많음.
사람들이 무난하고 직장내괴롭힘 그런거없음.","연봉 14나누기지만 연말 인센이 괜찮음.
전체회의 없이 개인의 업무강도나 역량을 고려하지 않는 업무분장이 가장 큰 단점. 업무를 구체적으로 여쭤볼 수 있는 중간직급붕괴되다보니 퇴사자가 많아질수록 남은 사람들이 매우 힘들어진다. 특히, 퇴사자 나갈때마다 인수인계 수시로 해서 업무분장 바뀔때마다 업무마스터 거의 혼자 알아서 해야함. 즉, 인수인계 체계 개판=업무체계 개판, 여름에 에어컨 잘 안나오고, 화장실 냄새심함. 가장 중요한 것은 야근을 해야지만 업무가 많은 줄 안다.(사실 칼퇴하고싶어서 빨리 했던건데) 보이기식 야근을 많이 해줘야한다. 여기서 살아남으려면 윗분들께 불평불만이나 업무애로사항 등 말을 정말 많이 해야된다 꼭. 그게 어떤 말이든 말 많은 사람만이 혜택을 가져갈 수 있다. 정말 가만히 일만 하면 가만히인줄알고 워라밸 붕괴당한다. -끝-","회사도 구직자를 리뷰할 수 있지만, 구직자들도 회사를 리뷰할 수 있습니다. 야근 많이 하는 사람이 업무강도가 쎄거나 많은것이 아닐 수 있음을, 필요 이상의 업무 외적인 말이 많은 사람들이 분위기를 흐릴 수 있다는 것을 아셨으면 좋겠습니다.
개인의 업무역량과 업무강도를 고려한 업무분장이 꼭 필요합니다.",,이 기업을 추천하지 않습니다.
1048607460,전문직,전직원,19-Jul,40.0,20.0,60.0,60.0,20.0,20.0,"""롯데 및 신세계 해외 사이트 번역 회사 아르바이트 경력에 쓸때 그래도 도움이 되는 기업. 번역 쪽에 일하고 싶으면 도움이 될 수도 있는 곳.""",아르바이트 치고는 제법 높은 수당(식비 따로 제공) 역과 가까운 위치에 있어 출퇴근이 쉬움. 번역 쪽에 일하고 싶으면 대기업들을 지원하는 회사라 도움이 됨.,"번역 할때 제대로 된 틀을 제공하지 않음, 번역 수가 정해지지 않아서 빨리 끝내면 일을 더 줌. 번역 아르바이트로 왔는데 언젠가 보니 쇼핑몰 사이트에 상품을 등록하고 있음. 회사가 매우 건조에서 휴대용 가습기를 따로 챙겨가야될듯.",아르바이트 고용 시 정확한 틀을 갖추어 주셨으면 좋겠습니다. 그리고 번역 팀은 번역만 시키고 상품 등록은 따로 팀을 만들어 시키셨으면 좋겠습니다. 번역할 제품들의 숫자를 정해서 주셨으면 더 좋겠습니다.,,
2208602238,,현직원,22-Apr,40.0,60.0,40.0,80.0,60.0,40.0,"""20년된 중소기업인데 20년동안 했다는건 저력이 있긴하다는거""","그냥 일 많이 바쁘지않고 할만함
사무실은 쾌적, 그렇게 나쁜 사람은 없음","사장의 마인드가 그냥 직원 개돼지 취급
전형적인 꼰대사장 마인드
복지라고 할만한게 아예 없음",돈 좀 많이 주고 복지 뭐라도 해줘라,,이 기업을 추천하지 않습니다.
1058709074,,전직원,21-May,60.0,60.0,60.0,60.0,80.0,40.0,"""빈티지에 관심이 있다면 다양한 상품을 접할 수 있음.""",함께 일하는 동료들 개개인 능력이 좋다. 연차 사용도 자유로운 편. 근무 스케줄도 상의하에 맞춰서 짤 수 있음.,"각자 맡은 부서끼리 의사 소통이 안 되는 편. 또, 대표와 직원들 사이의 피드백이 반영이 잘 되지 않는 편.",직원들의 이야기에 맞는 상황을 제시 해주길 바람. 큰 방향성을 제시해주면 좋을 거 같음.,,이 기업을 추천하지 않습니다.
4318603453,전직원,대전,,20.0,20.0,20.0,20.0,60.0,40.0,"""함께 일하는 동료들이 좋았었던 직장으로 기억에 남아 있습니다.""",함께 일하는 동료들이 좋은 기업입니다. 같이 어려움을 알아 주는 동료가 있어 좋습니다.,"야근 수당, 휴일 수당 이 없음. 회사가 어려워지면 직원들의 희생만을 강요 받음.",신규사업에 적극적인 투자가 적어 결국 회사가 어려워짐. 신규 사업 개척에 힘을 썼어야 함.,비슷,이 기업을 추천하지 않습니다.
2068600943,경영/기획/컨설팅,전직원,20-Mar,20.0,20.0,20.0,20.0,20.0,20.0,"""여기있는 리뷰 절때로 흘려듣지마세요, 가보면 알아요 젊은꼰대""","연차는 이주전에, 눈치보며 커피 직접내려 먹을수잇는 카페테리아,",보고를위한 보고 투성이 야근의 메카 야근을많이해야지 일잘하는사람,자기들보다 잘하는사람들 뽑는건 질투나고 아닌사람뽑느면 정치질하면서 디스하고 .. 적당히하세요,,
2118808436,영업/제휴,전직원,20-Dec,20.0,20.0,60.0,40.0,20.0,20.0,"""경영진마인드가 회사를 이끌어가기엔 부족한면이 있습니다.""",직원수가 제가근무할 당시 8~10명 남짓한 회사여서 수평적인 분위기는 갖고있습니다. 회사규모가 작아 사원이든 대리급이상이든 직접적인 성과에 영향이 미치는구조입니다.,회사가 규모가 작아서인지 일이 주먹구구식으로 돌아갈때가많습니다. 특히 사원수보다 임원비율이 80%이상인 비정상적인 구조를 갖고있어 사원으로 들어온다면 승진의 기회는 100%일지라도 그게 큰 의미가 없다고보시면됩니다.무역업을 전공하시는 분들에게는 비추.,대표님이 조금더 회사에 적극적인 모습을 보일 필요가 있습니다.,,이 기업을 추천하지 않습니다.
