BusinessNum,patentTitle,abstract,country,nationCode,pubReg,ipcInfo,applicationDate,applicationNumber,issueDate,patentNumber,deepLink
1051505526,식품 건조기,"본 발명은 건조 대상물인 식품이 올려지는 다수의 트레이를 회전시키면서 각각의 트레이 바로 상측 또는 하측에서 근접으로 빛 또는 열을 가하고 바람을 송풍함으로써 건조 시간을 획기적으로 단축시켜 건조 효율이 매우 우수한 식품 건조기를 개시한다.이에, 본 발명에 따른 식품 건조기는 모터(10)의 구동에 의해 회전하는 다수개의 트레이(T)가 서로 이격되어 상하 다단으로 내부에 배치되고 각각의 상기 트레이(T)의 상측 또는 하측에 열원발생수단(100)이 각각 설치된다.",ko,한국(KO),등록,"['A23N-012/08', 'A23B-007/02', 'F26B-003/02', 'F26B-009/06', 'A23L-003/40', 'F26B-003/30']",,,2021-01-26,10-2021-0010934,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=08497314&target=KPTN&cn=KOR1020210010934
1233701798,포커스 링,"본 발명은 산화마그네슘을 포함하는 독특한 조성을 가지는 조성물을 성형하여 전체적으로 균일한 조성을 가지며 내플라즈마 특성이 대폭 향상된 포커스링에 관한 것으로서, 본 발명에 따른 포커스링은, MgO 10 ~ 21 중량%, Al2O3 10 ~ 28 중량%, SiO2 61 ~ 80 중량%의 조성을 가진다. ",ko,한국(KO),공개,"['H01J-037/32', 'H01L-021/67', 'C04B-035/14']",2022-04-13,10-2022-0045670,2020-10-06,10-2020-0128533,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=08497314&target=KUPA&cn=KOR1020200128533
1051008337,직물지,'직물지'의 표면에 표현된 무늬의 모양을 디자인 창작내용의 요점으로 함. ,ko,한국(KO),등록디자인,,,,2018-03-23,30-2018-0014079,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=08497314&target=KPAT&cn=KOR3020180014079
2148100999,승마용 박차,"본 발명은 케이스부; 및 상기 케이스부의 제1영역에 위치하는 진동 소자부를 포함하는 승마용 박차에 관한 것으로, 말이 상처받고 고통을 받는 것을 배제할 수 있는 승마용 박차를 제공할 수 있다.",ko,한국(KO),등록,"['A43B-005/00', 'A43C-017/00', 'A43B-003/00']",,,2020-01-08,10-2020-0002566,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=08497314&target=KPTN&cn=KOR1020200002566
4091804389,터널 시공방법 및 그 구조,"터널 시공방법 및 그 구조에 관한 발명이다. 본 발명의 터널 시공방법은, 발파 공법을 이용해서 터널용 개구를 형성하는 터널용 개구 형성단계; 상기 터널용 개구의 바닥에 소정의 기법을 이용해서 터널 바닥부를 시공하는 터널 바닥부 시공단계; 상기 터널 바닥부를 제외한 상기 터널용 개구의 내벽 모두에 보강패널을 시공하는 보강패널 시공단계; 및 공정을 마무리하는 마무리 공정단계를 포함한다.",ko,한국(KO),등록,"['E21D-011/00', 'C04B-024/24', 'C04B-111/00', 'C04B-028/10', 'E21D-011/38', 'E21D-009/14', 'E21D-009/00', 'C04B-014/06', 'E21D-011/04']",,,2018-10-18,10-2018-0124378,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=08497314&target=KPTN&cn=KOR1020180124378
1052306139,활강속도안내장치를 갖는 스키용 헬멧,"본 발명은 활강속도안내장치(100)를 갖는 스키용 헬멧에 관한 것으로서, 스키장 슬로프의 활강시 활강속도를 일정 주기로 사용자에게 인지시켜 안전한 스키장 활주가 이루어지도록 함을 목적으로 한 것이다.즉, 본 발명은 스키용 헬멧에 있어서, 헬멧몸체(1)의 일측에 활강속도안내장치(100)를 구비하되, 상기 활강속도안내장치(100)를 헬멧몸체(1)의 일측에 구비되는 안내장치몸체(110)와 상기 안내장치몸체(110)의 내부 일측에 활강시 위치를 감지하여 속도를 감지할 수 있게 구비되는 헬멧GPS(121), 상기 안내장치몸체(110)의 내부 일측에 헬멧GPS(121)를 통하여 속도를 감지하여 사용자에게 속도정보를 제공할 수 있게 구비되는 제어부(122), 상기 안내장치몸체(110)의 외부 일측에 제어부(122)의 제어에 따라 점등되어 사용자에게 속도를 빛을 인지시킬 수 있게 구비되는 안내LED부(131), 상기 안내장치몸체(110)의 일측에 제어부(122)의 제어에 따라 동작되어 사용자에게 속도를 소리를 인지시킬 수 있게 구비되는 안내스피커부(132), 상기 안내장치몸체(110)의 일측에 구비되어 외부기기와 통신할 수 있게 구비되는 통신부, 상기 안내장치몸체(110)의 내부 일측에 통신부를 통하여 수신된 스키장의 정보를 저장하여 제어부(122)에 제공할 수 있게 구비되는 메모리부(150), 상기 안내장치몸체(110)의 내부 일측에 동작전원을 공급할 수 있게 구비되는 전원부로 구성한 것을 특징으로 하는 것이다.따라서, 본 발명은 헬멧몸체(1)의 일측에 활강속도안내장치(100)를 구비함으로써,스키장 슬로프의 활강시 활강속도를 일정 주기로 사용자에게 인지시켜 안전한 스키장 활주가 이루어지는 효과를 갖는 것이다.",ko,한국(KO),공개,"['G01C-009/02', 'A42B-003/00', 'A42B-003/30', 'G01D-021/02', 'G08C-017/02', 'G01S-019/01', 'G01P-015/00', 'A42B-003/04', 'G01D-007/12', 'G01C-005/00']",2020-04-27,10-2020-0043035,2018-10-17,10-2018-0123581,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=08497314&target=KUPA&cn=KOR1020180123581
1232402587,퍼걸러,'퍼걸러'의 형상과 모양의 결합을 디자인 창작 내용의 요점으로 함. ,ko,한국(KO),등록디자인,,,,2020-02-23,30-2020-0007931,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=08497314&target=KPAT&cn=KOR3020200007931
1050504300,디젤 지게차의 동력원 교체 방법,"본 발명은 디젤 지게차의 동력원 교체 방법에 관한 것이다.이러한 본 발명의 실시예에 따르면, 디젤 지게차에 기 설치되어 있는 엔진, 미션 및 연료탱크 중에서 적어도 하나를 제거하는 제거단계, 상기 엔진, 미션 및 연료탱크 중에서 적어도 하나가 제거된 자리에 배터리, 모터 및 컨트롤러 중에서 적어도 하나를 설치하는 설치단계(S120) 및 상기 배터리, 모터 및 컨트롤러를 배선으로 연결하는 연결단계(S130);를 포함한다. ",ko,한국(KO),등록,"['H01M-010/6571', 'B60L-015/20', 'B60K-007/00', 'B60L-050/60', 'B60L-053/80', 'B60K-001/04', 'B60L-058/18', 'B60L-058/27', 'B66F-009/075']",,,2022-03-07,10-2022-0028671,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=08497314&target=KPTN&cn=KOR1020220028671
8204409316,원격 강의 시스템,"본 발명은 학습 효율 및 사용자 편의성이 낮은 종래 원격 장치를 개선하기 위해서, 양방향 통신에 의해서 전통 강의에서 학습 효과를 증진시키던 요소, 예를 들어, 표정, 음성, 손짓 및 판서 등을 도입하고, 송수신되는 다양한 형식의 강의 데이터를 표준 데이터로 자동 변환하도록 구성함으로써, 학습 효율 및 사용자 편의성을 증진시키는 효과를 얻을 수 있는 발명이다. 본 발명의 시스템은, 네트워크를 통해서 서버로 연결된 하나 이상의 강사 단말 및 수강생 단말을 구비하며, 상기 강사 단말 및 수강생 단말은 각기, 동기화 신호를 발생하는 수단과, 영상, 음성 및 텍스트 데이터 중 적어도 하나 이상으로 이루어지는 강의 데이터를 입력 및 감지하는 수단과, 상기 동기화 신호에 의거하여 상기 강의 데이터를 상기 네트워크의 표준 데이터 형식으로 변환해서 상기 서버로 전송하는 형식 변환 및 전송 수단과, 상기 표준 데이터 형식의 강의 데이터를 상기 서버로부터 수신해서 상기 동기화 신호에 의거하여 원래의 영상, 음성 및 텍스트 데이터로 각각 변환하는 수신 및 형식 변환 수단으로 구성된다.",ko,한국(KO),공개,['G06Q-050/00E0'],2001-11-28,10-2001-0105110,2000-05-19,10-2000-0027093,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=08497314&target=KUPA&cn=KOR1020000027093
1245206691,난방장치,"본 발명은 사용자의 발을 거치할 수 있는 발 받침 기능과 함께 거치된 사용자의 발과 직접 접촉하여 온기를 전달하거나 주변 공기를 가열하는 난방 기능을 겸할 수 있는 난방장치를 제공함에 있다. 본 발명은 바닥에 놓이는 바닥판과, 상기 바닥판의 측면에 결합되는 회전지지부를 구비하는 고정베이스부; 상기 고정베이스부의 상측에 마련되며, 내부에 온열공간이 구비되고, 상기 온열공간이 외부와 연통되도록 복수개의 통공을 구비하는 본체부; 상기 회전지지부와 상기 본체부를 연결하며, 상기 회전지지부에 대해 상기 본체부가 회전되도록 하는 축결합부; 및 상기 온열공간에 배치되며, 전기에너지로부터 열에너지를 발생시키는 발열체와, 상기 발열체에서 발생된 열을 전달 받아 상기 온열공간으로 방출하는 방열파이프를 구비하는 방열모듈;을 포함하는 것을 특징을 개시한다.",ko,한국(KO),등록,"['F24C-007/00', 'F24C-007/06', 'F24C-015/08', 'A61F-007/00']",,,2020-06-24,10-2020-0077279,http://click.ndsl.kr/servlet/OpenAPIDetailView?keyValue=08497314&target=KPTN&cn=KOR1020200077279
