,BusinessNum,KorNumber,docdbFamilyID,applicationCountryCode,applicationDate,applicationKindCode,BizNo,publicationCountryCode,publicationDate,publicationKindCode,publicationNumber
0,1051505526,,,,,,,,,,
1,2118605035,,,,,,,,,,
2,2118605035,,,,,,,,,,
3,2298104710,1.02E+12,,,,,,,,,
4,2298104710,1.02E+12,,,,,,,,,
5,2298104710,1.02E+12,,,,,,,,,
6,2298104710,1.02E+12,,,,,,,,,
7,2298104710,2.02E+12,,,,,,,,,
8,2298104710,1.02E+12,,,,,,,,,
9,2298104710,2.02E+12,,,,,,,,,
10,2298104710,1.02E+12,,,,,,,,,
11,2298104710,1.02E+12,,,,,,,,,
12,2298104710,1.02E+12,,,,,,,,,
13,2298104710,1.02E+12,,,,,,,,,
14,2298104710,1.02E+12,,,,,,,,,
15,2298104710,1.02E+12,,,,,,,,,
16,2298104710,1.02E+12,,,,,,,,,
17,2298104710,1.02E+12,,,,,,,,,
18,4818104219,,,,,,,,,,
19,1178100918,,,,,,,,,,
20,1288606638,,,,,,,,,,
21,1233701798,,,,,,,,,,
22,1233701798,,,,,,,,,,
23,2118603748,,,,,,,,,,
24,2118603748,,,,,,,,,,
25,2028105909,,,,,,,,,,
26,5048106900,,,,,,,,,,
27,1050206258,1.02E+12,,,,,,,,,
28,5060508258,,,,,,,,,,
29,2068609732,,,,,,,,,,
30,2068601162,3.02E+12,,,,,,,,,
31,2068601162,1.02E+12,,,,,,,,,
32,2068601162,3.02E+12,,,,,,,,,
33,2068601162,1.02E+12,,,,,,,,,
34,2068601162,3.02E+12,,,,,,,,,
35,2068601162,1.02E+12,,,,,,,,,
36,2068601162,1.02E+12,,,,,,,,,
37,1198708247,,,,,,,,,,
38,1198708247,,,,,,,,,,
39,1198708247,,,,,,,,,,
40,5368103050,,,,,,,,,,
41,4648803814,,,,,,,,,,
42,4648803814,,,,,,,,,,
43,4648803814,,,,,,,,,,
44,1078701576,,,,,,,,,,
45,1108101669,,,,,,,,,,
46,1011106242,,,,,,,,,,
47,1011106242,,,,,,,,,,
48,1068604853,3.02E+12,,,,,,,,,
49,1068604853,3.02E+12,,,,,,,,,
50,1068604853,3.02E+12,,,,,,,,,
51,1068604853,2.02E+12,,,,,,,,,
52,1068604853,3.02E+12,,,,,,,,,
53,1068604853,2.02E+12,,,,,,,,,
54,1068604853,3.02E+12,,,,,,,,,
55,1068604853,3.02E+12,,,,,,,,,
56,1068604853,3.02E+12,,,,,,,,,
57,1068604853,2.02E+12,,,,,,,,,
58,1068604853,3.02E+12,,,,,,,,,
59,8878704066,,,,,,,,,,
60,5108109470,,,,,,,,,,
61,3268803610,3.02E+12,,,,,,,,,
62,3268803610,3.02E+12,,,,,,,,,
63,3268803610,3.02E+12,,,,,,,,,
64,3268803610,3.02E+12,,,,,,,,,
65,3268803610,3.02E+12,,,,,,,,,
66,3148601760,1.02E+12,,,,,,,,,
67,1101107959,,,,,,,,,,
68,3558800632,1.02E+12,,,,,,,,,
69,1208608270,1.02E+12,,,,,,,,,
70,1208608270,2.02E+12,,,,,,,,,
71,1208608270,1.02E+12,,,,,,,,,
72,1208608270,1.02E+12,56344506,KR,2015-03-24,A,20150041028,KR,2016-06-27,A,20160073893
73,1208608270,1.02E+12,56344506,KR,2017-01-24,A,20170011274,KR,2017-02-02,A,20170012540
74,1208608270,1.02E+12,,,,,,,,,
75,1208608270,1.02E+12,42758522,KR,2010-07-01,A,20100063598,KR,2010-08-26,A,20100094430
76,1208608270,1.02E+12,42758522,KR,2010-08-27,A,20100083623,KR,2011-10-19,B1,101074848
77,1208608270,1.02E+12,,,,,,,,,
78,1208608270,1.02E+12,,,,,,,,,
79,1208608270,1.02E+12,,,,,,,,,
80,1208608270,1.02E+12,,,,,,,,,
81,1208608270,1.02E+12,,,,,,,,,
82,1208608270,1.02E+12,43610946,US,2010-07-01,A,2.01E+11,US,2012-05-03,A1,2012110113
83,1208608270,1.02E+12,42758522,KR,2010-08-27,A,20100083623,KR,2021-07-08,B9,101074848
84,1208608270,1.02E+12,42758522,KR,2010-08-27,A,20100083623,KR,2010-10-12,A,20100110288
85,1208608270,1.02E+12,43610946,US,2010-07-01,A,2.01E+11,US,2015-02-17,B2,8959225
86,1208608270,1.02E+12,56344506,KR,2017-01-24,A,20170011274,KR,2017-07-20,B1,101760093
87,1208608270,1.02E+12,,,,,,,,,
88,1208608270,1.02E+12,42758522,KR,2010-07-01,A,20100063598,KR,2011-10-11,B1,101072612
89,1048607991,,,,,,,,,,
90,5498103922,,,,,,,,,,
91,3658102337,,,,,,,,,,
92,3658102337,,,,,,,,,,
93,3658102337,,,,,,,,,,
94,3028109597,,,,,,,,,,
95,3028109597,,,,,,,,,,
96,5428608963,1.02E+12,,,,,,,,,
97,5428608963,3.02E+12,,,,,,,,,
98,5428608963,1.02E+12,,,,,,,,,
99,5428608963,3.02E+12,,,,,,,,,
100,5028107114,,,,,,,,,,
101,1048607460,,,,,,,,,,
102,5518608991,1.02E+12,,,,,,,,,
103,5048105076,3.02E+12,,,,,,,,,
104,3058605060,,,,,,,,,,
105,3058605060,,,,,,,,,,
106,3058605060,,,,,,,,,,
107,4788602424,1.02E+12,,,,,,,,,
108,4788602424,1.02E+12,,,,,,,,,
109,2208602238,,,,,,,,,,
110,1138607964,,,,,,,,,,
111,1108108816,,,,,,,,,,
112,1108108816,,,,,,,,,,
113,1108108816,,,,,,,,,,
114,1268101583,,,,,,,,,,
115,1058709074,,,,,,,,,,
116,5048100635,,,,,,,,,,
117,2118700538,,,,,,,,,,
118,3038105176,,,,,,,,,,
119,4318603453,1.02E+12,,,,,,,,,
120,4318603453,3.02E+12,,,,,,,,,
121,4318603453,3.02E+12,,,,,,,,,
122,4318603453,1.02E+12,,,,,,,,,
123,4318603453,1.02E+12,,,,,,,,,
124,4318603453,3.02E+12,,,,,,,,,
125,4318603453,1.02E+12,,,,,,,,,
126,4318603453,1.02E+12,,,,,,,,,
127,4318603453,1.02E+12,,,,,,,,,
128,2068600943,3.02E+12,,,,,,,,,
129,2068600943,1.02E+12,,,,,,,,,
