BusinessNum,KorNumber,docdbFamilyID,applicationCountryCode,applicationDate,applicationKindCode,BizNo,publicationCountryCode,publicationDate,publicationKindCode,publicationNumber
1208608270,1020000000000.0,56344506.0,KR,2015-03-24,A,20150041028,KR,2016-06-27,A,20160073893
6778801828,1020000000000.0,68847696.0,KR,2019-06-21,W,2019007470,WO,2020-01-23,A1,2020017770
5648108012,1020000000000.0,62200624.0,KR,2018-03-16,W,2018003068,WO,2018-09-27,A1,2018174469
4725105662,1020000000000.0,40228749.0,KR,2008-06-18,W,2008003461,WO,2009-01-15,A1,2009008599
3738107789,1020000000000.0,41561832.0,EP,2010-02-10,A,10153214,EP,2010-09-01,A2,2223902
1198101660,1020000000000.0,62788624.0,KR,2017-10-11,W,2017011160,WO,2019-03-28,A1,2019059443
6528706526,1020000000000.0,74193773.0,KR,2019-11-01,W,2019014724,WO,2021-01-28,A1,2021015365
5138108838,2020000000000.0,19661950.0,JP,2000-11-28,A,2000360575,JP,2002-01-31,A,2002032159
5488604786,1020000000000.0,58543080.0,KR,2016-02-25,A,20160022397,KR,2017-02-28,B1,101710918
6168607659,1020000000000.0,66282177.0,CN,2019-03-18,A,2.02E+11,CN,2020-11-13,A,111935994
1470204046,1020000000000.0,70281928.0,KR,2018-11-23,W,2018014533,WO,2020-05-28,A1,2020105764
8578705077,1020000000000.0,57540348.0,KR,2016-07-08,W,2016007407,WO,2017-01-12,A1,2017007270
5688700744,1020000000000.0,42369540.0,KR,2010-05-26,W,2010003331,WO,2011-03-31,A1,2011037310
2110605903,1020000000000.0,43512420.0,KR,2011-01-21,W,2011000424,WO,2011-12-01,A3,2011126206
2248103704,1020000000000.0,71865063.0,CN,2020-05-19,A,2.02E+11,CN,2020-08-07,A,111511052
1358105033,1020000000000.0,63584547.0,KR,2018-03-23,W,2018003453,WO,2018-09-27,A1,2018174646
1638704156,1020000000000.0,72040175.0,KR,2019-11-29,W,2019016768,WO,2021-06-03,A1,2021107230
7838500073,1020000000000.0,71407311.0,KR,2020-01-02,W,2020000023,WO,2020-07-09,A2,2020141883
1078600926,1020000000000.0,58742785.0,KR,2017-02-16,W,2017001699,WO,2017-11-30,A1,2017204439
4098600910,1020000000000.0,64742262.0,JP,2017-07-19,A,2019563075,JP,2021-08-11,B2,6918979
6030502326,1020000000000.0,37188481.0,US,2006-03-30,A,39341706,US,2006-10-26,A1,2006242441
4328707527,1020000000000.0,66678244.0,KR,2019-05-14,W,2019005561,WO,2020-02-06,A1,2020027408
4398701034,1020000000000.0,75466394.0,KR,2021-05-31,W,2021006763,WO,2021-12-09,A1,2021246742
1078104587,1020000000000.0,39789619.0,US,2008-06-27,A,16348208,US,2009-01-08,A1,2009007383
6048106300,1020000000000.0,71892567.0,KR,2020-07-31,W,2020010152,WO,2021-02-04,A1,2021020938
1208701124,1020000000000.0,36928821.0,AT,2004-12-07,T,4808335,AT,2011-04-15,T,502645
1058601100,1020000000000.0,53026055.0,KR,2015-06-19,W,2015006264,WO,2017-05-18,A3,2016035986
5028604772,1020000000000.0,44957108.0,CN,2012-04-20,A,2.01E+11,CN,2012-11-28,A,102798408
3018606021,1020000000000.0,40022943.0,KR,2009-01-16,W,2009000256,WO,2009-10-15,A3,2009091218
5038501423,1020000000000.0,53032170.0,KR,2015-03-05,W,2015002123,WO,2016-04-28,A1,2016064038
3068103046,1020000000000.0,39690627.0,US,2008-02-13,A,52558908,US,2012-10-09,B2,8283430
1028104876,1020000000000.0,74562446.0,JP,2020-08-07,A,2020134846,JP,2021-02-17,B1,6830706
5658806780,1020000000000.0,69670482.0,KR,2020-07-02,W,2020008637,WO,2021-01-14,A1,2021006538
1228101892,1020000000000.0,60034737.0,US,2018-05-25,A,2.02E+11,US,2019-02-07,A1,2019040502
5060200455,1020000000000.0,53393773.0,EP,2015-01-28,A,15743540,EP,2016-12-07,A1,3101136
1198600785,2020000000000.0,52445624.0,KR,2015-06-02,U,20150003543,KR,2015-12-11,U,20150004464
3018109288,1020000000000.0,63229552.0,CN,2018-04-19,A,2.02E+11,CN,2018-11-23,A,108854442
6218601419,1020000000000.0,64454896.0,US,2018-06-01,A,2.02E+11,US,2021-01-05,B2,10887201
1018603994,1020000000000.0,54554194.0,KR,2014-11-11,W,2014010768,WO,2015-11-26,A1,2015178552
5978801848,1020000000000.0,69370187.0,US,2020-05-28,A,2.02E+11,US,2021-04-22,A1,2021116139
2208807095,1020000000000.0,66100751.0,KR,2017-10-12,W,2017011264,WO,2019-04-18,A1,2019074139
1078808428,1020000000000.0,62242156.0,KR,2016-12-08,W,2016014347,WO,2018-06-07,A1,2018101523
1058103374,1020000000000.0,50145545.0,KR,2014-06-27,W,2014005752,WO,2015-01-29,A1,2015012497
6598806875,1020000000000.0,74140842.0,KR,2020-12-28,A,20200184847,KR,2021-09-23,A,20210114328
2508108987,1020000000000.0,42759251.0,KR,2009-08-27,W,2009004800,WO,2011-02-17,A1,2011019101
6138700740,1020000000000.0,76377906.0,KR,2020-08-26,A,20200107773,KR,2021-07-30,A,20210095014
1138103195,1020000000000.0,61686796.0,US,2017-09-05,A,2.02E+11,US,2018-03-29,A1,2018091112
2258106950,1020000000000.0,39398166.0,KR,2008-05-06,A,20080041946,KR,2008-06-19,A,20080055758
1088108087,1020000000000.0,47022292.0,US,2011-04-27,A,2.01E+11,US,2012-10-25,A1,2012272279
3018105211,1020000000000.0,37325689.0,KR,2002-11-26,U,20020035332,KR,2003-11-21,Y1,200334231
1078600991,1020000000000.0,60943627.0,RU,2017-05-18,A,2021100565,RU,2021-03-16,A,2021100565
5268709826,1020000000000.0,50270196.0,KR,2014-07-10,W,2014006193,WO,2015-01-15,A1,2015005692
3128604085,1020000000000.0,60921547.0,CN,2018-05-18,A,2.02E+11,CN,2018-12-07,A,108965374
1288609641,1020000000000.0,57983394.0,KR,2016-08-11,W,2016008848,WO,2017-02-16,A1,2017026817
1078800359,1020000000000.0,19707368.0,WO,2002-03-22,W,200491,WO,2002-10-03,A1,2077879
2208100175,1020000000000.0,49858156.0,EP,2014-01-23,A,14746367,EP,2016-06-22,A4,2953044
