,BusinessNum,SitId,ProjectName,ProjectCode,EquipId,EquipNo,Year,ProjectYear,MinistryCode,MinistryName,BudgetProjectNo,BudgetName,PerformAgentCode,PerformAgent,6TCode,6TName,TechnologyRoadMapCode,TechnologyRoadMapName,ScienceClassCode1,ScienceClassName1,ScienceClassCode2,ScienceClassName2,ScienceClassCode3,ScienceClassName3
0,1051505526,,,,,,,,,,,,,,,,,,,,,,,
1,1051505526,,,,,,,,,,,,,,,,,,,,,,,
2,2118605035,,,,,,,,,,,,,,,,,,,,,,,
3,2118605035,,,,,,,,,,,,,,,,,,,,,,,
4,2298104710,EQU,"매토종자, 현장 발생토 및 임목폐기물을 이용한 생태복원기술 개발",1485009921,2.01E+19,NFEC-2014-04-187033,2012,2011,N34,환경부,201103419330305A,차세대에코이노베이션기술개발,AAN9581,(주)장원조경,20314,환경 생명공학기술,30500,"생태계, 오염토양, 지하수 복원기술",O0401,훼손된 자연생태계 복원기술,,,,
5,2298104710,EQU,"매토종자, 현장 발생토 및 임목폐기물을 이용한 생태복원기술 개발",1485011138,2.01E+19,NFEC-2014-04-187019,2014,2013,P23,환경부,23125007007619001933305B,차세대에코이노베이션기술개발사업(환경산업선진화기술개발사업),AAN9581,(주)장원조경,20314,환경 생명공학기술,30500,"생태계, 오염토양, 지하수 복원기술",EH0401,훼손된 자연생태계 복원기술,,,,
6,2298104710,EQU,"매토종자, 현장 발생토 및 임목폐기물을 이용한 생태복원기술 개발",1485009921,2.01E+19,NFEC-2014-04-187033,2012,2011,N34,환경부,201103419330305A,차세대에코이노베이션기술개발,AAN9581,(주)장원조경,20314,환경 생명공학기술,30500,"생태계, 오염토양, 지하수 복원기술",O0401,훼손된 자연생태계 복원기술,,,,
7,2298104710,EQU,"매토종자, 현장 발생토 및 임목폐기물을 이용한 생태복원기술 개발",1485011138,2.01E+19,NFEC-2014-04-187019,2014,2013,P23,환경부,23125007007619001933305B,차세대에코이노베이션기술개발사업(환경산업선진화기술개발사업),AAN9581,(주)장원조경,20314,환경 생명공학기술,30500,"생태계, 오염토양, 지하수 복원기술",EH0401,훼손된 자연생태계 복원기술,,,,
8,2298104710,EQU,"매토종자, 현장 발생토 및 임목폐기물을 이용한 생태복원기술 개발",1485011138,2.01E+19,NFEC-2014-04-187019,2014,2013,P23,환경부,23125007007619001933305B,차세대에코이노베이션기술개발사업(환경산업선진화기술개발사업),AAN9581,(주)장원조경,20314,환경 생명공학기술,30500,"생태계, 오염토양, 지하수 복원기술",EH0401,훼손된 자연생태계 복원기술,,,,
9,2298104710,EQU,"매토종자, 현장 발생토 및 임목폐기물을 이용한 생태복원기술 개발",1485009921,2.01E+19,NFEC-2014-04-187033,2012,2011,N34,환경부,201103419330305A,차세대에코이노베이션기술개발,AAN9581,(주)장원조경,20314,환경 생명공학기술,30500,"생태계, 오염토양, 지하수 복원기술",O0401,훼손된 자연생태계 복원기술,,,,
10,4818104219,,,,,,,,,,,,,,,,,,,,,,,
11,4818104219,,,,,,,,,,,,,,,,,,,,,,,
12,4818104219,,,,,,,,,,,,,,,,,,,,,,,
13,1178100918,,,,,,,,,,,,,,,,,,,,,,,
14,1178100918,,,,,,,,,,,,,,,,,,,,,,,
15,1178100918,,,,,,,,,,,,,,,,,,,,,,,
16,1288606638,,,,,,,,,,,,,,,,,,,,,,,
17,1288606638,,,,,,,,,,,,,,,,,,,,,,,
18,1233701798,EQU,PCB ENIG 대체 위한 친환경 무시안계 ENIS Solution 및 표면처리 기술 개발,1425071068,2.01E+19,NFEC-2012-06-165497,2011,2011,N30,중소기업청,201003013510301B,산학연협력기술개발,ACD4675,나인테크,10112,집적회로기술,60000,위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구,I0608,전자부품 표면처리기술,,,,
19,1233701798,EQU,PCB ENIG 대체 위한 친환경 무시안계 ENIS Solution 및 표면처리 기술 개발,1425071068,2.01E+19,NFEC-2012-06-165497,2011,2011,N30,중소기업청,201003013510301B,산학연협력기술개발,ACD4675,나인테크,10112,집적회로기술,60000,위의 국가기술지도(NTRM) 99개 핵심기술 분류에 속하지 않는 기타 연구,I0608,전자부품 표면처리기술,,,,
20,2118603748,,,,,,,,,,,,,,,,,,,,,,,
21,2118603748,,,,,,,,,,,,,,,,,,,,,,,
22,2028105909,,,,,,,,,,,,,,,,,,,,,,,
23,2028105909,,,,,,,,,,,,,,,,,,,,,,,
24,5048106900,,,,,,,,,,,,,,,,,,,,,,,
