,BusinessNum,ResearchPublicNo,PublicationAgency,ResultTitleKR,Contents,PublicationCountry,ProjectNumber,ProjectTitle,ManagerName
0,1051505526,TRKO201900007144,신일,조명 제어용 파워릴레이의 접촉 내구성(수명) 향상기술개발,비공개항목입니다.,대한민국,1425107260,조명 제어용 파워릴레이의 접촉 내구성(수명) 향상기술개발,조을훈
1,1051505526,TRKO201300011330,신일,굴삭기용 드라이브 샤프트(요크 샤프트)에 대한 단조기술 개발,비공개항목입니다.,대한민국,1425061884,굴삭기용 드라이브 샤프트(요크 샤프트)에 대한 단조기술 개발,박종삼
2,1051505526,TRKO201900012993,(주)신일,차단기 부품 코킹 자동화 system 구축,비공개항목입니다.,대한민국,1425114038,차단기 부품 코킹 자동화 system 구축,김영남
3,1051505526,TRKO201500015619,(주)신일,모터 컨트롤 unit module화 공정기술 개발,표지... 1제출문... 2요약서(초록)... 3목차... 4제 1 장 개발기술의 개요... 5 제 1 절 기술개발 필요성 및 현황... 5 제 2 절 국내외 관련기술 현황... 8제 2 장 개발목표 및 개발내용... 12 제 1 절 기술개발 목표... 12 제 2 절 세부 개발내용 및 방법... 13 제 3 절 연구개발성과(시제품 및 도면)... 16제 ...,대한민국,1425080263,모터 컨트롤 unit module화 공정기술 개발,조을훈
4,1051505526,TRKO201400019301,(유)신일,제진기능 향상을 위한 Multi-level automatic 제진기,표지... 1제출문... 2생산기술사업화 지원사업(현장맞춤형 기술개발 부문) 최종보고서 초록... 3목차... 5제 1 장 서론... 6 제 1 절 개발기술의 중요성(필요성)... 6 제 2 절 국내.외 관련기술의 현황... 8 제 3 절 기술개발 시 예상되는 파급효과 및 활용방안... 10 제 4 절 개발기술의 평가방법 및 평가항목... 11제 2 장 기...,대한민국,1415124942,제진기능 향상을 위한 Multi level Automatic 제진기,이광호
5,2118605035,,,,,,,,
6,2298104710,TRKO201400018846,(주)장원조경,"매토종자, 현장발생토 및 임목폐기물을 이용한 생태복원기술 개발",표지... 1제출문... 3요약서... 4요약문... 10SUMMARY... 23목차... 40표 목차... 43그림 목차... 51제1장 서 론... 61 제1절 연구개발과제의 개요... 63  1. 연구개발의 중요성(필요성)... 63  2. 연구개발의 국내외 현황... 67   가. 국내의 기술개발 현황... 67   나. 해외의 기술개발 현황... ...,대한민국,1485011138,"매토종자, 현장 발생토 및 임목폐기물을 이용한 생태복원기술 개발",신경준
7,4818104219,,,,,,,,
8,1178100918,,,,,,,,
9,1288606638,TRKO201900009218,라온,C기반 보급형 cad&cam을 활용한 독립형모션제어기,비공개항목입니다.,대한민국,1425106980,2016년 창업성장기술개발사업·창업사업화 연계과제,임민섭
10,1288606638,TRKO202000028482,라온,생산 자동화용 최대 토출 압력 25bar급 미니 자동 윤활 장치 개발,비공개항목입니다.,대한민국,1425118654,생산 자동화용 최대 토출 압력 25bar급 미니 자동 윤활 장치 개발,공태일
11,1288606638,TRKO201900008188,라온,승합차 전용 15kg/㎠ 및 5L급 스마트소화장치 개발,비공개항목입니다.,대한민국,1425104669,승합차 전용 15kg/㎠ 및 5L급 스마트소화장치 개발,공태일
12,1233701798,TRKO201400004110,나인테크,Plasma 공정 부품용 내식 절연 Ni-W-P Plating 기술 개발,중소기업 기술개발사업 최종보고서... 1표지... 2요약서(초록)... 3끝페이지... 3,대한민국,1425074135,Plasma 공정 부품용 내식 절연 Ni-W-P Plating 기술 개발,황충호
13,1233701798,TRKO201800012553,나인테크,Plasma 공정 부품용 내식 절연 Ni-W-P Plating 기술 개발,표지... 1중소기업 기술개발사업 최종보고서... 2제 출 문... 3요 약 서 (초 록)... 4제 1 장 개발기술의 개요... 5 제 1 절. 기술 개발 제품의 개요... 5 제 2 절. 기술 개발의 필요성 및 기존 기술의 문제점... 7제 2 장 개발 목표 및 개발 내용... 13 제 1 절. 기술 개발 목표... 13 제 2 절. 세부 개발 내용 및...,대한민국,1425074135,Plasma 공정 부품용 내식 절연 Ni-W-P Plating 기술 개발,황충호
14,1233701798,TRKO201400026791,나인테크,PCB ENIG 대체 위한 친환경 무시안계 ENIS Solution 및 표면처리 기술 개발,표지 ... 1최종보고서 ... 2Ⅰ 산학연협력 기업부설연구소 운영 실적 ... 3 1. 연구소 개요 ... 3 2. 연구전담요원 현황 ... 3 3. 연구소 연구장비 보유 현황 ... 4Ⅱ 연구개발과제 최종 실적 (사업기간 내 실적 기재) ... 5 1. 연구개발과제 목표 ... 5 2. 계획 대비 최종 실적 ... 5 3. 지식재산권 보유현황 ... 6...,대한민국,1425077254,PCB ENIG 대체 위한 친환경 무시안계 ENIS Solution 및 표면처리 기술 개발,황충호
15,2118603748,,,,,,,,
16,2028105909,,,,,,,,
17,5048106900,,,,,,,,
18,1050206258,,,,,,,,
19,5060508258,,,,,,,,
20,2068609732,,,,,,,,
21,2068601162,,,,,,,,
22,1198708247,,,,,,,,
23,5368103050,,,,,,,,
24,4648803814,,,,,,,,
25,1078701576,,,,,,,,
26,1108101669,,,,,,,,
27,1011106242,,,,,,,,
28,1068604853,,,,,,,,
29,8878704066,,,,,,,,
30,5108109470,,,,,,,,
31,3268803610,,,,,,,,
32,3148601760,,,,,,,,
33,1101107959,TRKO201900007020,비엠에스,전립선암의 진단 키트 개발,비공개항목입니다.,대한민국,1425105531,전립선암의 진단 KIT 개발,김동호
34,3558800632,,,,,,,,
35,1208608270,,,,,,,,
36,1048607991,,,,,,,,
37,5498103922,,,,,,,,
38,3658102337,,,,,,,,
39,3028109597,,,,,,,,
40,5428608963,,,,,,,,
41,5028107114,,,,,,,,
42,1048607460,,,,,,,,
43,5518608991,,,,,,,,
44,5048105076,,,,,,,,
45,3058605060,TRKO201900009218,라온,C기반 보급형 cad&cam을 활용한 독립형모션제어기,비공개항목입니다.,대한민국,1425106980,2016년 창업성장기술개발사업·창업사업화 연계과제,임민섭
46,3058605060,TRKO201900008188,라온,승합차 전용 15kg/㎠ 및 5L급 스마트소화장치 개발,비공개항목입니다.,대한민국,1425104669,승합차 전용 15kg/㎠ 및 5L급 스마트소화장치 개발,공태일
47,3058605060,TRKO201900009218,라온,C기반 보급형 cad&cam을 활용한 독립형모션제어기,비공개항목입니다.,대한민국,1425106980,2016년 창업성장기술개발사업·창업사업화 연계과제,임민섭
48,3058605060,TRKO202000028482,라온,생산 자동화용 최대 토출 압력 25bar급 미니 자동 윤활 장치 개발,비공개항목입니다.,대한민국,1425118654,생산 자동화용 최대 토출 압력 25bar급 미니 자동 윤활 장치 개발,공태일
49,4788602424,,,,,,,,
50,2208602238,,,,,,,,
51,1138607964,,,,,,,,
52,1108108816,,,,,,,,
53,1268101583,TRKO202000027172,대성,농업용 다목적 하이브 로봇,비공개항목입니다.,대한민국,1425120672,농업용 다목적 하이브 로봇,정혁
54,1058709074,,,,,,,,
55,5048100635,,,,,,,,
56,2118700538,,,,,,,,
57,3038105176,,,,,,,,
58,4318603453,,,,,,,,
59,2068600943,TRKO202000028153,한국생활건강,"유백피, 익모초, 토복령 중심의 고전 유래 한방원료 추출물이 함유된 맞춤형 여성청결제 개발",비공개항목입니다.,대한민국,1425119152,"유백피, 익모초, 토복령 중심의 고전 유래 한방원료 추출물이 함유된 맞춤형 여성청결제 개발",지정근
60,1138603978,,,,,,,,
61,1198600239,,,,,,,,
62,6168504643,,,,,,,,
