BusinessNum,PublicationAgency,MergedText
1051505526,신일,조명 제어용 파워릴레이의 접촉 내구성(수명) 향상기술개발 대한민국 1425107260.0 조명 제어용 파워릴레이의 접촉 내구성(수명) 향상기술개발 조을훈
1051505526,신일,굴삭기용 드라이브 샤프트(요크 샤프트)에 대한 단조기술 개발 대한민국 1425061884.0 굴삭기용 드라이브 샤프트(요크 샤프트)에 대한 단조기술 개발 박종삼
1051505526,(주)신일,차단기 부품 코킹 자동화 system 구축 대한민국 1425114038.0 차단기 부품 코킹 자동화 system 구축 김영남
1051505526,(주)신일,모터 컨트롤 unit module화 공정기술 개발 대한민국 1425080263.0 모터 컨트롤 unit module화 공정기술 개발 조을훈
1051505526,(유)신일,제진기능 향상을 위한 Multi-level automatic 제진기 대한민국 1415124942.0 제진기능 향상을 위한 Multi level Automatic 제진기 이광호
2298104710,(주)장원조경,"매토종자, 현장발생토 및 임목폐기물을 이용한 생태복원기술 개발 대한민국 1485011138.0 매토종자, 현장 발생토 및 임목폐기물을 이용한 생태복원기술 개발 신경준"
1288606638,라온,C기반 보급형 cad&cam을 활용한 독립형모션제어기 대한민국 1425106980.0 2016년 창업성장기술개발사업·창업사업화 연계과제 임민섭
1288606638,라온,생산 자동화용 최대 토출 압력 25bar급 미니 자동 윤활 장치 개발 대한민국 1425118654.0 생산 자동화용 최대 토출 압력 25bar급 미니 자동 윤활 장치 개발 공태일
1288606638,라온,승합차 전용 15kg/㎠ 및 5L급 스마트소화장치 개발 대한민국 1425104669.0 승합차 전용 15kg/㎠ 및 5L급 스마트소화장치 개발 공태일
1233701798,나인테크,Plasma 공정 부품용 내식 절연 Ni-W-P Plating 기술 개발 대한민국 1425074135.0 Plasma 공정 부품용 내식 절연 Ni-W-P Plating 기술 개발 황충호
1233701798,나인테크,PCB ENIG 대체 위한 친환경 무시안계 ENIS Solution 및 표면처리 기술 개발 대한민국 1425077254.0 PCB ENIG 대체 위한 친환경 무시안계 ENIS Solution 및 표면처리 기술 개발 황충호
1101107959,비엠에스,전립선암의 진단 키트 개발 대한민국 1425105531.0 전립선암의 진단 KIT 개발 김동호
3058605060,라온,C기반 보급형 cad&cam을 활용한 독립형모션제어기 대한민국 1425106980.0 2016년 창업성장기술개발사업·창업사업화 연계과제 임민섭
3058605060,라온,승합차 전용 15kg/㎠ 및 5L급 스마트소화장치 개발 대한민국 1425104669.0 승합차 전용 15kg/㎠ 및 5L급 스마트소화장치 개발 공태일
